age,sex,indic_il,unit,country,year,value,Code,pop,% of DE,% of AT,% of W_EUR3,% of S_EUR4,region
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2014,7.559,HUN,9862785,39.337010824313076,34.89520819868895,41.80433362111193,54.390082631587205,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2015,7.919,HUN,9839162,38.885342499386205,36.026568399981805,42.20208075907973,56.19937068691168,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2016,8.267,HUN,9810479,39.08377458396369,35.83286376836721,42.26645932338874,55.59013366109519,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2017,8.332,HUN,9785561,39.06052224462051,35.66628140918625,42.433548626099565,55.27957649678822,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2018,8.603,HUN,9774342,39.140127388535035,37.07550422340976,43.20431893136508,55.99389295455219,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2019,9.344,HUN,9770300,41.175692944961,39.44779837041415,45.82775216578698,59.502276033765106,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2020,9.056,HUN,9749421,37.37669734615543,38.81031970515128,43.33576149403203,55.60464049806636,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2021,9.96,HUN,9707794,42.680836475831335,40.736196319018404,48.35976089587928,62.54389676556699,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2022,10.62,HUN,9684259,45.92035283434946,42.27875313507703,50.57181348116444,62.86079595668487,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2023,10.913,HUN,9686418,45.30847795399817,38.037643778319975,49.27807666258876,59.745311715372,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Hungary,2024,11.199,HUN,9562314,44.45458875833598,37.63357752537133,48.01135991340209,57.1376170117436,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2005,3.911,LVA,2239738,24.98881860583988,22.74630685122717,26.5730652166963,32.15497354031992,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2006,4.475,LVA,2218989,29.50484604733962,25.68886337543054,30.35102908144213,35.47021631973402,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2007,5.587,LVA,2200711,32.24819624819625,31.3700168444694,35.29118586427253,42.60750387589837,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2008,7.138,LVA,2177658,39.64013994557672,37.703359391506446,41.877199998303524,49.48371192902997,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2009,7.132,LVA,2141988,39.723738442686866,36.62695152013147,41.7347773760737,48.69257852755696,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2010,5.876,LVA,2097787,33.437660046662494,30.108628817380612,34.673294939375346,40.68034064872994,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2011,5.944,LVA,2059892,32.313128567545526,29.1015911872705,33.867311049381236,41.21262169529812,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2012,6.101,LVA,2034577,31.7628071636818,29.61362974468498,33.9280377421357,43.170555864864085,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2013,6.446,LVA,2012960,33.09374679125167,30.836203597397628,35.488339887914535,46.21113450301425,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2014,7.32,LVA,1994096,38.093255620316405,33.79189363862986,40.482566755726864,52.67038032321978,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2015,8.092,LVA,1977815,39.734839184876016,36.81361175560711,43.1240355477299,57.427112968618424,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2016,9.257,LVA,1959817,43.76418305597579,40.12396515105544,47.32800459134021,62.24723204315449,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2017,9.248,LVA,1942550,43.354741924898036,39.58734643208767,47.0985906978119,61.35687991386192,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2018,10.031,LVA,1927526,45.63694267515923,43.22961558352008,50.37574371736873,65.2882413375698,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2019,11.031,LVA,1914220,48.60970343277663,46.56984844007261,54.10166247225987,70.24503498806324,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2020,11.339,LVA,1901069,46.79929010689669,48.59432587640353,54.2606227452329,69.62246230207315,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2021,11.975,LVA,1885546,51.31556393555022,48.97750511247444,58.143387221702255,75.19710479595027,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2022,12.845,LVA,1881016,55.54114238768539,51.13658983239779,61.16713221897902,76.03078381013343,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2023,13.228,LVA,1882336,54.91987046417006,46.106657371906586,59.73154935331477,72.41922325400355,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Latvia,2024,14.721,LVA,1862441,58.435217529374405,49.46905033940453,63.11056605814735,75.10696133850143,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2005,3.847,LTU,3322225,24.579899047984153,22.374083982784693,26.13822088689099,31.628786297522563,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2006,4.62,LTU,3269761,30.460868991890287,26.521239954075774,31.334470247209527,36.619530591546635,CEE
Total,Total,Median equivalised net income,Purchasing power standard (PPS),Lithuania,2007,5.714,LTU,3231322,32.98124098124098,32.083099382369454,36.09340183075948,43.576029559134284,CEE
