DATAFLOW,LAST UPDATE,freq,sizeclas,sex,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Hungary,2022,5.73,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Ireland,2006,16.81,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Ireland,2010,18.25,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Ireland,2014,20.16,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Ireland,2018,17.97,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Ireland,2022,20.25,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Iceland,2006,15.77,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Iceland,2010,11.12,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Iceland,2014,14.27,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Iceland,2018,22.95,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Iceland,2022,25.36,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Italy,2006,10.91,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Italy,2010,11.87,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Italy,2014,12.49,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Italy,2018,12.61,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Italy,2022,13.05,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Lithuania,2006,2.14,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Lithuania,2010,2.69,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Lithuania,2014,3.11,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Lithuania,2018,4.41,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Lithuania,2022,8.82,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Luxembourg,2006,15.7,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Luxembourg,2010,17.83,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Luxembourg,2014,18.38,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Luxembourg,2018,19.59,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Luxembourg,2022,23.99,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Latvia,2006,1.95,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Latvia,2010,2.85,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Latvia,2014,3.35,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Latvia,2018,4.92,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Latvia,2022,7.15,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Montenegro,2014,3.42,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,North Macedonia,2010,2.49,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,North Macedonia,2014,2.2,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,North Macedonia,2018,2.59,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Malta,2006,6.57,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Malta,2010,7.46,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Malta,2014,8.48,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Malta,2018,9.96,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Malta,2022,10.30,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Netherlands,2006,12.76,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Netherlands,2010,15.43,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Netherlands,2014,15.62,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Netherlands,2018,16.56,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Netherlands,2022,18.95,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Norway,2006,21.54,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Norway,2010,25.53,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Norway,2014,27.99,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Norway,2018,26.3,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Norway,2022,28.67,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Poland,2006,3.15,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Poland,2010,4.02,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Poland,2014,4.29,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Poland,2018,4.98,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Poland,2022,6.90,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Portugal,2006,4.71,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Portugal,2010,5.06,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Portugal,2014,5.12,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Portugal,2018,5.37,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Portugal,2022,6.24,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Romania,2006,1.39,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Romania,2010,1.94,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Romania,2014,2.03,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Romania,2018,3.74,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Romania,2022,5.55,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Serbia,2014,2.63,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Serbia,2018,2.81,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Serbia,2022,4.43,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Sweden,2006,14.28,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Sweden,2010,15.94,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Sweden,2014,18.46,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Sweden,2018,18.17,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Sweden,2022,19.29,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovenia,2006,5.48,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovenia,2010,7.2,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovenia,2014,7.32,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovenia,2018,8.04,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovenia,2022,10.47,,
ESTAT:EARN_SES_PUB2S(1.0),12/02/25 23:00:00,Annual,10 employees or more,Total,Euro,Slovakia,2006,2.52,,
