"Data Source","World Development Indicators",

"Last Updated Date","2026-02-24",

"Country Name","Country Code","Indicator Name","Indicator Code","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023","2024","2025",
"Bhutan","BTN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3239.25219283771","3083.34894024708","3225.26294245631","3340.70760473998","3660.98833310109","3839.3462088109","4055.24146090839","4339.40264762578","4222.30574657195","4351.38314054612","5312.11753161223","5594.46658233777","5995.50317735583","6300.35380601845","6489.6872499161","6887.54527050036","7128.63776595317","8082.68445910011","8285.73365891358","8740.65099873717","9621.91307659836","10238.7713137306","10445.1672524294","10554.5734812902","11180.8154431133","11939.0599362638","12506.0052188249","12568.4642525473","12713.7650248593","13214.3034674521","12286.6814879792","12697.5526242547","12713.9113479726","13205.6521809278","","",
"Botswana","BWA","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","7507.52319295775","8055.16408362668","8116.81682939589","8552.23289838499","7440.19093888189","7995.48688090154","7820.52355955695","8578.1280724737","9780.35690753434","9239.09925234002","9054.52686994226","9389.75282860823","8754.03854338127","9861.49958610122","9643.72664485118","9452.03059606584","10575.2922350918","11679.6038810615","12644.2156974191","11819.6861535145","12655.5332259451","14475.6951732247","14465.663131662","14675.6743310242","16311.060547622","15075.5057101012","16379.2374646388","15526.7153646972","15466.8120254249","17521.6809143036","16765.8579829677","17996.4342503298","19332.1594883471","19060.905426878","","",
"Central African Republic","CAF","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1339.29056465126","1390.37922180181","1354.33957562597","1385.26885299453","844.817307828475","835.554969794878","878.504923003059","917.374772712062","968.232930318986","1205.98994124745","1229.36618041626","1200.16798764072","1205.55490803321","1200.59438009975","1201.84239158867","1181.88401956444","",
"Canada","CAN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","36818.7675145519","35548.8130066389","35216.4510939376","35668.6172464636","36739.1917903618","37753.9773308793","38230.4613827288","39420.3253431688","39887.1811030403","41834.3486773914","44719.539779154","44750.4883462449","45251.1206157594","46498.8966303574","48328.983808671","50044.9465926112","51224.4321021444","52310.8307619197","53018.7883894297","49193.4699369911","50812.6382169301","52458.1772242131","52628.1481788593","53534.6570460475","54212.1393018688","52945.7659764118","52857.2453374106","54426.6495806444","54995.7728379043","55342.7798375405","51712.853865894","56471.2680552037","58337.1353552411","56168.4719859372","55393.5786601405","",
"Central Europe and the Baltics","CEB","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","15111.2300671973","15736.1011869704","15984.270776393","16632.4111649713","16910.1310505903","17584.9094430231","18281.5304726337","19102.5956748929","19783.3898993887","20926.7795215705","22158.6364599535","23514.8371327233","25263.3552340808","26641.9938699648","25990.7746744247","26285.6781403676","27122.1672229764","27317.2847175671","27802.3133417163","28997.0713054921","30376.3033634303","31558.1212223065","33296.2203413435","35032.598001663","36860.4996396792","36461.7462606729","38846.7380744695","39573.3613351528","40394.30956364","41636.0897810216","",
"Switzerland","CHE","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","65422.1100019691","65434.1326392203","67279.4525800994","69646.4110147627","71111.4734116921","73635.3086464802","72548.8506381549","71793.2982985368","74405.383708691","75306.1244382762","77954.1764399942","79702.4175291636","76710.2415662242","72193.1974089037","76193.6419301182","81164.2623076189","78286.2554560276","79374.2186184832","79053.7718661385","78331.2931006212","79881.895152596","78305.9773031741","77292.4332454229","77089.632887681","77531.4533711447","73848.8275073855","78091.8086766356","81469.2834781443","79625.1098762691","","",
"Channel Islands","CHI","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",
"Chile","CHL","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","9020.45098963692","9554.18029638495","10383.731660583","10856.3593920282","11367.3802688491","12628.3582415809","12816.160711312","13495.7427069315","13808.7379460974","13579.0077958828","14040.1579443609","14167.1837562396","14402.0145762246","15067.3554407248","16307.562126113","17476.2975092351","19367.5847364622","20550.277246576","19739.8099485757","19923.5839134175","21980.8610869964","22504.4797821059","23936.7725118432","24546.9642894325","24539.6224063188","25120.5027847936","25403.2937668063","25654.9432280924","25955.863293991","25663.005991562","23953.4819607289","27443.5912571364","27302.912125769","27878.8984360499","28707.1035733123","",
"China","CHN","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","20701.1336318515","","","","",
"Cote d'Ivoire","CIV","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","2569.34874773368","2705.43718363106","2982.15118767532","2697.90524948946","2837.91269582054","3142.45230556846","4701.61835572533","4999.93781620612","5240.2826376803","5288.0097985166","5362.86451455286","5569.33296975502","5568.81179371515","5859.40175291878","6033.76438198704","6296.42254023529","6458.1510092798","",
"Cameroon","CMR","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","3771.17174166138","3563.57004583405","3165.11336143642","3191.55304527244","3199.83345544191","3132.33999768582","3080.85988245274","3262.08746168033","3293.92322720321","3408.39143728567","3455.46348578117","3417.54450604524","3460.12647785677","3683.35915499731","3902.51220978358","3958.30381232762","4076.81876760953","4069.56095452381","4056.75550529798","4128.6167505029","4136.18750798495","4153.78175144415","4250.05557352004","4388.67575108837","4488.48433311858","4573.31338227674","4644.05298222464","4673.6522008636","4752.23161617984","4753.99257270656","4594.0727897232","4715.73937106399","4799.08445338849","4773.7454874834","4880.20811529866","",
"Congo, Dem. Rep.","COD","GNI per capita, PPP (constant 2021 international $)","NY.GNP.PCAP.PP.KD","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","1400.17825840146","1354.11025958795","1329.09179652586","1285.07211085494","1169.23350345664","1131.31890834997","1007.74342677661","953.244114776785","941.076579921917","1008.71654601646","1049.27955276112","1085.68437325874","1131.70071714638","1197.58967504959","1179.85413016717","1101.92545788751","1190.73601490215","1180.72390108735","1158.65300056464","1176.29585672888","1202.05489642161","1208.28425589605","1195.03079672809","1245.27409218802","1236.54641920274","1145.83970101438","1118.24692627253","1355.13868558009","1344.40084034441","1293.8234682877","1537.98541257599","",
