country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Colombia,Latin America,1995,2024,29.247915214408096,35.10045442064465,35804622,52886363,23.037002142751746,13.700567815235738,1,5.852539206236557,0.18240578042851704,9.336434327516008,0.5196644336872265,black,+6%,0.18,+6%,32.174184817526374,14 → 23,2.62 → 3.14,9,+9% (14 → 23),"Latin America
+9% (14 → 23)",FALSE,,29.247915214408096,35.10045442064465,linear,% of W_EUR3
Greece,Southern Europe,1995,2024,70.54621491497564,63.15193372271278,10519187,10388805,76.81973631086923,67.4018095318805,1,-7.394281192262852,-0.11072455632908688,9.417926778988729,0.13078972514165638,red,-7%,-0.11,-7%,66.8490743188442,67 → 77,4.21 → 4.34,9,+9% (67 → 77),"Southern Europe
+9% (67 → 77)",FALSE,,70.54621491497564,63.15193372271278,linear,% of W_EUR3
Romania,CEE,1996,2024,13.57676440382331,81.8894438792583,22541865,19069340,85.45894807933234,30.626222141669974,1,68.31267947543499,1.7970102603158,54.832725937662374,1.0261795464804429,black,+68%,1.8,+68%,47.7331041415408,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",TRUE,(1996-2024),13.57676440382331,81.8894438792583,linear,% of S_EUR4
Lithuania,CEE,1995,2024,17.037015634378147,83.90489760702825,3626997,2888055,85.45894807933234,30.626222141669974,1,66.8678819726501,1.594295618873279,54.832725937662374,1.0261795464804429,black,+67%,1.59,+67%,50.4709566207032,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,17.037015634378147,83.90489760702825,linear,% of S_EUR4
"South
Korea",Asia,1995,2023,47.37738800050325,111.91998167036442,45368368,51748695,111.91998167036442,47.377388000503245,1,64.54259366986116,0.8596390981074601,64.54259366986118,0.8596390981074603,black,+65%,0.86,+65%,79.64868483543384,47 → 112,3.86 → 4.72,65,+65% (47 → 112),"Asia
+65% (47 → 112)",TRUE,(1995-2023),47.37738800050325,111.91998167036442,linear,% of S_EUR4
Poland,CEE,1995,2024,39.67890660222104,101.73005276038062,38364630,36554707,85.45894807933234,30.626222141669974,1,62.051146158159575,0.9415030367875631,54.832725937662374,1.0261795464804429,black,+62%,0.94,+62%,70.70447968130082,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,39.67890660222104,101.73005276038062,linear,% of S_EUR4
Latvia,CEE,1995,2024,20.00282638340707,63.4137193304755,2485908,1862441,85.45894807933234,30.626222141669974,1,43.41089294706843,1.153806648518978,54.832725937662374,1.0261795464804429,black,+43%,1.15,+43%,41.708272856941285,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,20.00282638340707,63.4137193304755,linear,% of S_EUR4
Hungary,CEE,1995,2024,29.101128224038984,68.0141153983204,10322744,9562314,85.45894807933234,30.626222141669974,1,38.91298717428141,0.8489383190101322,54.832725937662374,1.0261795464804429,black,+39%,0.85,+39%,48.55762181117969,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,29.101128224038984,68.0141153983204,linear,% of S_EUR4
Slovenia,CEE,1995,2024,70.36778651245535,102.99812518497474,1988051,2126324,85.45894807933234,30.626222141669974,1,32.630338672519386,0.38097520548116826,54.832725937662374,1.0261795464804429,black,+33%,0.38,+33%,86.68295584871504,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,70.36778651245535,102.99812518497474,linear,% of S_EUR4
Czechia,CEE,1995,2024,31.845655392879618,63.044532670915885,10311979,10882164,85.45894807933234,30.626222141669974,1,31.198877278036267,0.6829403801436027,54.832725937662374,1.0261795464804429,black,+31%,0.68,+31%,47.44509403189775,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,31.845655392879618,63.044532670915885,linear,% of S_EUR4
Slovakia,CEE,1995,2024,37.51432955166011,65.58924246427412,5354244,5422069,85.45894807933234,30.626222141669974,1,28.07491291261401,0.5586887143134563,54.832725937662374,1.0261795464804429,black,+28%,0.56,+28%,51.55178600796712,31 → 85,3.42 → 4.45,55,+55% (31 → 85),"CEE
+55% (31 → 85)",FALSE,,37.51432955166011,65.58924246427412,linear,% of S_EUR4
Chile,Latin America,1995,2024,25.7629552690984,44.96796665627233,14527329,19764771,29.988390027176177,20.32670622701232,1,19.205011387173933,0.557012766365247,9.661683800163857,0.38887470854557005,black,+19%,0.56,+19%,35.36546096268536,20 → 30,3.01 → 3.4,10,+10% (20 → 30),"Latin America
+10% (20 → 30)",FALSE,,25.7629552690984,44.96796665627233,linear,% of S_EUR4
Brazil,Latin America,1995,2024,16.048491296974426,27.610114507996972,161735036,211998573,29.988390027176177,20.32670622701232,1,11.561623211022546,0.5425673283020533,9.661683800163857,0.38887470854557005,black,+12%,0.54,+12%,21.8293029024857,20 → 30,3.01 → 3.4,10,+10% (20 → 30),"Latin America
+10% (20 → 30)",FALSE,,16.048491296974426,27.610114507996972,linear,% of S_EUR4
Mexico,Latin America,1995,2024,16.735214514014466,24.23595712580643,90862395,130861007,29.988390027176177,20.32670622701232,1,7.5007426117919636,0.37032220918486813,9.661683800163857,0.38887470854557005,black,+8%,0.37,+8%,20.485585819910447,20 → 30,3.01 → 3.4,10,+10% (20 → 30),"Latin America
+10% (20 → 30)",FALSE,,16.735214514014466,24.23595712580643,linear,% of S_EUR4
Costa Rica,Latin America,1995,2024,52.40513220857656,55.40536641685456,3535133,5129910,29.988390027176177,20.32670622701232,1,3.000234208278002,0.05567192634951705,9.661683800163857,0.38887470854557005,black,+3%,0.06,+3%,53.90524931271556,20 → 30,3.01 → 3.4,10,+10% (20 → 30),"Latin America
+10% (20 → 30)",FALSE,,52.40513220857656,55.40536641685456,linear,% of S_EUR4
Colombia,Latin America,1995,2024,43.39336794893329,45.691974623034845,35804622,52886363,29.988390027176177,20.32670622701232,1,2.2986066741015563,0.05161605528686052,9.661683800163857,0.38887470854557005,black,+2%,0.05,+2%,44.54267128598407,20 → 30,3.01 → 3.4,10,+10% (20 → 30),"Latin America
+10% (20 → 30)",FALSE,,43.39336794893329,45.691974623034845,linear,% of S_EUR4
