megye,telepules,part,part_full,osszes_vp,osszes_szavazo,ervenyes,ervenytelen,reszvetel_pct,szavazat,szavazat_pct
BARANYA,Bakóca,Mi_Hazank,MI HAZÁNK MOZGALOM,221,107,107,0,48.4163,2,1.8692
BARANYA,Bakóca,NEP,NORMÁLIS ÉLET PÁRTJA,221,107,107,0,48.4163,0,0.0
BARANYA,Bakóca,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,221,107,107,0,48.4163,12,11.215
BARANYA,Baranyahídvég,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,145,85,81,4,58.6207,69,85.1852
BARANYA,Baranyahídvég,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,145,85,81,4,58.6207,0,0.0
BARANYA,Baranyahídvég,Megoldas,MEGOLDÁS MOZGALOM,145,85,81,4,58.6207,0,0.0
BARANYA,Baranyahídvég,Mi_Hazank,MI HAZÁNK MOZGALOM,145,85,81,4,58.6207,4,4.9383
BARANYA,Baranyahídvég,NEP,NORMÁLIS ÉLET PÁRTJA,145,85,81,4,58.6207,1,1.2346
BARANYA,Baranyahídvég,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,145,85,81,4,58.6207,7,8.642
BARANYA,Baranyajenő,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,359,193,192,1,53.7604,127,66.1458
BARANYA,Baranyajenő,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,359,193,192,1,53.7604,3,1.5625
BARANYA,Baranyajenő,Megoldas,MEGOLDÁS MOZGALOM,359,193,192,1,53.7604,1,0.5208
BARANYA,Baranyajenő,Mi_Hazank,MI HAZÁNK MOZGALOM,359,193,192,1,53.7604,12,6.25
BARANYA,Baranyajenő,NEP,NORMÁLIS ÉLET PÁRTJA,359,193,192,1,53.7604,0,0.0
BARANYA,Baranyajenő,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,359,193,192,1,53.7604,49,25.5208
BARANYA,Baranyaszentgyörgy,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,86,63,63,0,73.2558,54,85.7143
BARANYA,Baranyaszentgyörgy,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,86,63,63,0,73.2558,4,6.3492
BARANYA,Baranyaszentgyörgy,Megoldas,MEGOLDÁS MOZGALOM,86,63,63,0,73.2558,0,0.0
BARANYA,Baranyaszentgyörgy,Mi_Hazank,MI HAZÁNK MOZGALOM,86,63,63,0,73.2558,3,4.7619
BARANYA,Baranyaszentgyörgy,NEP,NORMÁLIS ÉLET PÁRTJA,86,63,63,0,73.2558,1,1.5873
BARANYA,Baranyaszentgyörgy,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,86,63,63,0,73.2558,1,1.5873
BARANYA,Basal,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,152,105,105,0,69.0789,59,56.1905
BARANYA,Basal,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,152,105,105,0,69.0789,3,2.8571
BARANYA,Basal,Megoldas,MEGOLDÁS MOZGALOM,152,105,105,0,69.0789,1,0.9524
BARANYA,Basal,Mi_Hazank,MI HAZÁNK MOZGALOM,152,105,105,0,69.0789,9,8.5714
BARANYA,Basal,NEP,NORMÁLIS ÉLET PÁRTJA,152,105,105,0,69.0789,0,0.0
BARANYA,Basal,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,152,105,105,0,69.0789,33,31.4286
BARANYA,Belvárdgyula,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,313,197,196,1,62.9393,133,67.8571
BARANYA,Belvárdgyula,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,313,197,196,1,62.9393,5,2.551
BARANYA,Belvárdgyula,Megoldas,MEGOLDÁS MOZGALOM,313,197,196,1,62.9393,0,0.0
BARANYA,Belvárdgyula,Mi_Hazank,MI HAZÁNK MOZGALOM,313,197,196,1,62.9393,15,7.6531
BARANYA,Belvárdgyula,NEP,NORMÁLIS ÉLET PÁRTJA,313,197,196,1,62.9393,2,1.0204
BARANYA,Belvárdgyula,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,313,197,196,1,62.9393,39,19.898
BARANYA,Beremend,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,1912,1262,1239,24,66.0042,666,53.753
BARANYA,Beremend,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,1912,1262,1239,24,66.0042,24,1.937
BARANYA,Beremend,Megoldas,MEGOLDÁS MOZGALOM,1912,1262,1239,24,66.0042,19,1.5335
BARANYA,Beremend,Mi_Hazank,MI HAZÁNK MOZGALOM,1912,1262,1239,24,66.0042,50,4.0355
BARANYA,Beremend,NEP,NORMÁLIS ÉLET PÁRTJA,1912,1262,1239,24,66.0042,3,0.2421
BARANYA,Beremend,ellenzeki_osszefogas_2022,DEMOKRATIKUS KOALÍCIÓ-JOBBIK MAGYARORSZÁGÉRT MOZGALOM-MOMENTUM MOZGALOM-MAGYAR SZOCIALISTA PÁRT-LMP - MAGYARORSZÁG ZÖLD PÁRTJA-PÁRBESZÉD MAGYARORSZÁGÉRT PÁRT,1912,1262,1239,24,66.0042,470,37.9338
BARANYA,Berkesd,FIDESZ_KDNP,FIDESZ - MAGYAR POLGÁRI SZÖVETSÉG-KERESZTÉNYDEMOKRATA NÉPPÁRT,636,428,417,12,67.2956,251,60.1918
BARANYA,Berkesd,MKKP,MAGYAR KÉTFARKÚ KUTYA PÁRT,636,428,417,12,67.2956,15,3.5971
BARANYA,Berkesd,Megoldas,MEGOLDÁS MOZGALOM,636,428,417,12,67.2956,4,0.9592
