telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Balatonfőkajár,19025,1048,825,821,818,373,355,79,369,344,91,1095,653,644,352,156,27,43,10,29,78.7,45.4,43.2,9.6,45.1,42.1,11.1,59.6,54.7,24.2,4.2,6.7,1.6,4.5,7,-11.4,1,2.2,0
Balatonfüred,19026,8950,7314,7278,7286,4179,2632,372,4072,2613,466,10890,6375,6320,2676,2158,485,421,216,194,81.7,57.4,36.2,5.1,55.9,35.9,6.4,58.5,42.3,34.1,7.7,6.7,3.4,3.1,4,-6.2,1,21.3,0
Balatonfűzfő,19027,3495,2916,2899,2898,1662,1035,154,1632,1022,178,3723,2375,2336,988,689,231,145,74,111,83.4,57.3,35.7,5.3,56.3,35.3,6.1,63.8,42.3,29.5,9.9,6.2,3.2,4.8,6,-6.6,1,21.6,0
Balatonhenye,19028,116,100,100,100,53,35,10,55,33,10,127,109,107,38,39,3,12,6,3,86.2,53.0,35.0,10.0,55.0,33.0,10.0,85.8,35.5,36.4,2.8,11.2,5.6,2.8,8,-0.5,0,18.0,0
Balatonkenese,19029,2076,1709,1704,1701,898,698,87,895,688,96,2277,1528,1510,724,446,77,99,43,62,82.3,52.7,41.0,5.1,52.6,40.4,5.6,67.1,47.9,29.5,5.1,6.6,2.8,4.1,6,-7.0,1,11.7,0
Balatonrendes,19030,147,120,120,120,59,59,1,60,52,8,176,130,130,60,35,13,6,5,5,81.6,49.2,49.2,0.8,50.0,43.3,6.7,73.9,46.2,26.9,10.0,4.6,3.8,3.8,8,3.0,0,0.0,0
Balatonszepezd,19031,384,310,309,310,147,144,13,143,142,18,434,314,311,141,84,36,19,11,13,80.7,47.6,46.6,4.2,46.1,45.8,5.8,72.4,45.3,27.0,11.6,6.1,3.5,4.2,8,1.3,1,1.0,0
Balatonszőlős,19032,484,406,403,406,249,112,36,241,114,43,500,280,278,90,114,11,37,8,8,83.9,61.8,27.8,8.9,59.4,28.1,10.6,56.0,32.4,41.0,4.0,13.3,2.9,2.9,8,-4.6,0,34.0,0
Balatonudvari,19033,299,258,258,257,133,114,9,130,113,10,342,267,260,126,74,19,17,6,12,86.3,51.6,44.2,3.5,50.6,44.0,3.9,78.1,48.5,28.5,7.3,6.5,2.3,4.6,8,-4.3,1,7.4,0
Barnag,19035,99,84,83,84,29,47,6,29,42,8,102,77,76,42,18,3,6,0,5,84.8,34.9,56.6,7.2,34.5,50.0,9.5,75.5,55.3,23.7,3.9,7.9,0.0,6.6,8,1.4,0,-21.7,0
Bazsi,19036,335,263,262,262,127,120,15,122,117,19,348,217,211,89,74,8,16,2,10,78.5,48.5,45.8,5.7,46.6,44.7,7.3,62.4,42.2,35.1,3.8,7.6,0.9,4.7,8,3.6,1,2.7,0
Bánd,19037,548,489,483,481,255,184,38,257,149,36,553,392,387,157,146,11,38,8,18,89.2,52.8,38.1,7.9,53.4,31.0,7.5,70.9,40.6,37.7,2.8,9.8,2.1,4.7,8,-2.5,1,14.7,0
Berhida,19038,4440,3204,3180,3163,1494,1441,198,1514,1320,203,4537,2004,1977,999,458,153,163,42,69,72.2,47.0,45.3,6.2,47.9,41.7,6.4,44.2,50.5,23.2,7.7,8.2,2.1,3.5,5,-5.2,1,1.7,0
Béb,19039,205,179,178,177,72,96,10,66,94,8,221,185,178,103,29,13,17,3,2,87.3,40.4,53.9,5.6,37.3,53.1,4.5,83.7,57.9,16.3,7.3,9.6,1.7,1.1,8,-3.9,0,-13.5,0
Békás,19040,160,130,129,129,39,82,8,40,81,8,164,104,102,68,17,5,8,0,3,81.3,30.2,63.6,6.2,31.0,62.8,6.2,63.4,66.7,16.7,4.9,7.8,0.0,2.9,8,-3.1,0,-33.3,0
Bodorfa,19041,73,63,60,63,20,36,4,24,32,7,75,68,67,38,12,2,7,1,1,86.3,33.3,60.0,6.7,38.1,50.8,11.1,90.7,56.7,17.9,3.0,10.4,1.5,1.5,8,3.3,0,-26.7,0
Borszörcsök,19042,285,223,221,217,71,129,19,68,120,18,301,205,200,149,23,3,11,5,4,78.2,32.1,58.4,8.6,31.3,55.3,8.3,68.1,74.5,11.5,1.5,5.5,2.5,2.0,8,-16.1,0,-26.2,0
Borzavár,19043,592,490,485,489,251,194,32,246,200,36,600,421,418,214,97,12,45,9,23,82.8,51.8,40.0,6.6,50.3,40.9,7.4,70.2,51.2,23.2,2.9,10.8,2.2,5.5,8,-11.2,1,11.8,0
Csabrendek,19044,2207,1652,1633,1644,813,692,108,793,690,130,2301,1376,1327,660,345,69,132,23,35,74.9,49.8,42.4,6.6,48.2,42.0,7.9,59.8,49.7,26.0,5.2,9.9,1.7,2.6,6,-7.4,1,7.4,0
Csajág,19045,655,512,509,510,236,225,32,238,221,34,655,292,284,151,70,21,19,6,4,78.2,46.4,44.2,6.3,46.7,43.3,6.7,44.6,53.2,24.6,7.4,6.7,2.1,1.4,8,-9.0,1,2.2,0
Csehbánya,19046,244,218,216,213,104,93,18,100,66,24,241,184,178,97,39,7,13,6,4,89.3,48.1,43.1,8.3,46.9,31.0,11.3,76.3,54.5,21.9,3.9,7.3,3.4,2.2,8,-11.4,1,5.1,0
Csesznek,19047,383,310,310,310,158,121,20,146,126,26,408,280,279,150,64,16,15,7,11,80.9,51.0,39.0,6.5,47.1,40.6,8.4,68.6,53.8,22.9,5.7,5.4,2.5,3.9,8,-14.7,1,11.9,0
Csetény,19048,1444,1189,1180,1184,506,585,68,529,545,86,1505,1133,1096,609,228,56,116,22,35,82.3,42.9,49.6,5.8,44.7,46.0,7.3,75.3,55.6,20.8,5.1,10.6,2.0,3.2,7,-6.0,0,-6.7,0
Csopak,19049,1634,1404,1396,1396,809,495,67,802,474,91,1763,1152,1120,461,411,66,66,31,50,85.9,58.0,35.5,4.8,57.4,34.0,6.5,65.3,41.2,36.7,5.9,5.9,2.8,4.5,6,-5.7,1,22.5,0
Csót,19050,716,551,548,548,224,283,38,223,281,38,752,430,419,251,102,17,34,3,2,77.0,40.9,51.6,6.9,40.7,51.3,6.9,57.2,59.9,24.3,4.1,8.1,0.7,0.5,8,-8.3,0,-10.8,0
Csögle,19051,478,363,359,359,136,190,29,135,194,27,497,330,314,195,69,16,21,1,0,75.9,37.9,52.9,8.1,37.6,54.0,7.5,66.4,62.1,22.0,5.1,6.7,0.3,0.0,8,-9.2,0,-15.0,0
Dabronc,19052,314,213,211,213,62,123,25,61,120,31,338,166,165,116,26,8,8,0,3,67.8,29.4,58.3,11.8,28.6,56.3,14.6,49.1,70.3,15.8,4.8,4.8,0.0,1.8,8,-12.0,0,-28.9,0
Dabrony,19053,314,221,218,217,99,106,11,96,103,15,324,234,225,143,26,9,25,3,9,70.4,45.4,48.6,5.0,44.2,47.5,6.9,72.2,63.6,11.6,4.0,11.1,1.3,4.0,8,-14.9,0,-3.2,0
Dáka,19054,346,284,284,284,145,114,17,140,120,14,335,213,207,112,43,19,16,5,2,82.1,51.1,40.1,6.0,49.3,42.3,4.9,63.6,54.1,20.8,9.2,7.7,2.4,1.0,8,-14.0,1,10.9,0
Devecser,19055,3402,2333,2310,2318,1187,987,107,1171,997,111,3488,1853,1817,967,357,184,148,40,57,68.6,51.4,42.7,4.6,50.5,43.0,4.8,53.1,53.2,19.6,10.1,8.1,2.2,3.1,6,-10.5,1,8.7,0
Doba,19056,366,279,274,278,106,148,20,107,151,20,372,227,219,145,36,5,17,2,6,76.2,38.7,54.0,7.3,38.5,54.3,7.2,61.0,66.2,16.4,2.3,7.8,0.9,2.7,8,-12.2,0,-15.3,0
Döbrönte,19057,217,197,193,188,99,80,14,91,70,12,231,176,172,97,30,10,13,8,6,90.8,51.3,41.5,7.3,48.4,37.2,6.4,76.2,56.4,17.4,5.8,7.6,4.7,3.5,8,-14.9,1,9.8,0
Dörgicse,19058,223,189,187,188,106,66,8,103,66,12,246,183,181,65,64,7,16,5,14,84.8,56.7,35.3,4.3,54.8,35.1,6.4,74.4,35.9,35.4,3.9,8.8,2.8,7.7,8,-0.6,1,21.4,0
Dudar,19059,1324,1033,1025,1022,479,466,55,491,437,72,1369,844,829,409,212,54,71,12,32,78.0,46.7,45.5,5.4,48.0,42.8,7.0,61.7,49.3,25.6,6.5,8.6,1.4,3.9,7,-3.9,1,1.3,0
Egeralja,19060,189,162,156,157,40,104,11,38,106,13,192,168,167,120,24,6,9,0,3,85.7,25.6,66.7,7.1,24.2,67.5,8.3,87.5,71.9,14.4,3.6,5.4,0.0,1.8,8,-5.2,0,-41.0,0
Egyházaskesző,19061,379,270,268,269,134,116,12,135,118,12,401,185,185,116,34,6,16,5,1,71.2,50.0,43.3,4.5,50.2,43.9,4.5,46.1,62.7,18.4,3.2,8.6,2.7,0.5,8,-19.4,1,6.7,0
Eplény,19062,452,394,393,394,207,158,21,205,151,25,464,363,358,186,90,14,25,11,21,87.2,52.7,40.2,5.3,52.0,38.3,6.3,78.2,52.0,25.1,3.9,7.0,3.1,5.9,8,-11.8,1,12.5,0
Farkasgyepű,19063,316,262,260,257,163,78,10,156,69,8,337,252,246,111,86,12,12,6,8,82.9,62.7,30.0,3.8,60.7,26.8,3.1,74.8,45.1,35.0,4.9,4.9,2.4,3.3,8,-15.1,1,32.7,0
Felsőörs,19064,1538,1364,1361,1361,783,466,94,779,449,106,1613,1125,1112,443,394,31,110,36,50,88.7,57.5,34.2,6.9,57.2,33.0,7.8,69.7,39.8,35.4,2.8,9.9,3.2,4.5,6,-5.6,1,23.3,0
Ganna,19065,203,178,177,177,79,85,11,72,78,14,206,159,158,94,35,5,11,0,9,87.7,44.6,48.0,6.2,40.7,44.1,7.9,77.2,59.5,22.2,3.2,7.0,0.0,5.7,8,-11.5,0,-3.4,0
Gecse,19066,306,243,241,241,87,132,17,91,132,17,310,231,229,138,42,16,18,6,2,79.4,36.1,54.8,7.1,37.8,54.8,7.1,74.5,60.3,18.3,7.0,7.9,2.6,0.9,8,-5.5,0,-18.7,0
Gic,19067,267,217,216,216,82,116,16,82,110,22,289,164,161,99,35,5,14,1,2,81.3,38.0,53.7,7.4,38.0,50.9,10.2,56.7,61.5,21.7,3.1,8.7,0.6,1.2,8,-7.8,0,-15.7,0
Gógánfa,19068,568,401,401,400,163,213,23,162,199,32,588,411,393,241,63,25,38,6,7,70.6,40.6,53.1,5.7,40.5,49.8,8.0,69.9,61.3,16.0,6.4,9.7,1.5,1.8,8,-8.2,0,-12.5,0
Gyepükaján,19069,271,197,197,197,76,110,8,75,112,10,280,204,202,134,34,5,16,2,4,72.7,38.6,55.8,4.1,38.1,56.9,5.1,72.9,66.3,16.8,2.5,7.9,1.0,2.0,8,-10.5,0,-17.3,0
Gyulakeszi,19070,559,432,432,432,216,190,17,218,183,24,576,357,349,158,99,24,35,11,2,77.3,50.0,44.0,3.9,50.5,42.4,5.6,62.0,45.3,28.4,6.9,10.0,3.2,0.6,8,-1.3,1,6.0,0
Hajmáskér,19071,2347,1745,1732,1733,894,706,106,917,666,121,2418,1131,1104,523,327,57,77,29,44,74.4,51.6,40.8,6.1,52.9,38.4,7.0,46.8,47.4,29.6,5.2,7.0,2.6,4.0,6,-6.6,1,10.9,0
Halimba,19072,913,720,715,718,396,274,43,386,267,49,927,534,522,256,123,25,57,11,34,78.9,55.4,38.3,6.0,53.8,37.2,6.8,57.6,49.0,23.6,4.8,10.9,2.1,6.5,7,-10.7,1,17.1,0
Hárskút,19073,546,465,463,462,209,218,23,208,181,25,542,374,367,211,84,14,19,10,17,85.2,45.1,47.1,5.0,45.0,39.2,5.4,69.0,57.5,22.9,3.8,5.2,2.7,4.6,8,-10.4,0,-1.9,0
Hegyesd,19074,128,111,110,111,48,46,14,44,48,16,149,112,112,53,20,3,21,7,3,86.7,43.6,41.8,12.7,39.6,43.2,14.4,75.2,47.3,17.9,2.7,18.8,6.3,2.7,8,-5.5,1,1.8,0
Hegymagas,19075,216,185,185,185,109,67,7,108,63,10,226,164,163,62,57,9,16,2,6,85.6,58.9,36.2,3.8,58.4,34.1,5.4,72.6,38.0,35.0,5.5,9.8,1.2,3.7,8,-1.8,1,22.7,0
Herend,19076,2853,2412,2405,2399,1309,909,158,1293,821,199,2878,1951,1916,816,628,104,156,65,66,84.5,54.4,37.8,6.6,53.9,34.2,8.3,67.8,42.6,32.8,5.4,8.1,3.4,3.4,6,-4.8,1,16.6,0
Hetyefő,19077,75,50,50,50,26,21,2,26,20,2,80,62,57,30,10,5,5,0,4,66.7,52.0,42.0,4.0,52.0,40.0,4.0,77.5,52.6,17.5,8.8,8.8,0.0,7.0,8,-10.6,1,10.0,0
Hidegkút,19078,367,310,308,307,189,98,20,171,87,17,377,290,284,103,85,20,32,5,25,84.5,61.4,31.8,6.5,55.7,28.3,5.5,76.9,36.3,29.9,7.0,11.3,1.8,8.8,8,-4.4,1,29.5,0
Homokbödöge,19079,517,403,399,400,165,204,24,163,206,23,544,371,361,200,70,30,34,7,6,77.9,41.4,51.1,6.0,40.8,51.5,5.8,68.2,55.4,19.4,8.3,9.4,1.9,1.7,8,-4.3,0,-9.8,0
Hosztót,19080,52,45,45,44,11,32,1,11,29,3,77,71,67,30,14,12,5,2,3,86.5,24.4,71.1,2.2,25.0,65.9,6.8,92.2,44.8,20.9,17.9,7.5,3.0,4.5,8,26.3,0,-46.7,0
Iszkáz,19081,280,213,211,212,53,138,16,53,141,16,275,202,195,151,26,2,8,0,2,76.1,25.1,65.4,7.6,25.0,66.5,7.5,73.5,77.4,13.3,1.0,4.1,0.0,1.0,8,-12.0,0,-40.3,0
Jásd,19082,556,469,466,465,186,235,41,191,220,47,572,406,401,229,89,13,39,6,10,84.4,39.9,50.4,8.8,41.1,47.3,10.1,71.0,57.1,22.2,3.2,9.7,1.5,2.5,8,-6.7,0,-10.5,0
Kamond,19083,268,196,195,196,61,125,6,62,128,4,282,191,183,133,26,6,6,3,3,73.1,31.3,64.1,3.1,31.6,65.3,2.0,67.7,72.7,14.2,3.3,3.3,1.6,1.6,8,-8.6,0,-32.8,0
Kapolcs,19084,321,271,271,271,145,115,10,151,108,11,350,262,261,128,67,16,13,11,18,84.4,53.5,42.4,3.7,55.7,39.9,4.1,74.9,49.0,25.7,6.1,5.0,4.2,6.9,8,-6.6,1,11.1,0
Karakószörcsök,19085,210,163,162,159,52,99,10,50,95,14,227,185,183,123,28,2,14,1,5,77.6,32.1,61.1,6.2,31.4,59.7,8.8,81.5,67.2,15.3,1.1,7.7,0.5,2.7,8,-6.1,0,-29.0,0
Káptalanfa,19086,614,453,451,449,212,208,23,213,202,25,645,390,384,204,91,18,23,5,22,73.8,47.0,46.1,5.1,47.4,45.0,5.6,60.5,53.1,23.7,4.7,6.0,1.3,5.7,8,-7.0,1,0.9,0
Káptalantóti,19087,386,330,329,328,160,143,20,162,138,20,407,313,309,141,91,15,27,7,14,85.5,48.6,43.5,6.1,49.4,42.1,6.1,76.9,45.6,29.4,4.9,8.7,2.3,4.5,8,-2.2,1,5.2,0
Kemeneshőgyész,19088,359,279,276,275,115,148,12,115,149,9,385,274,269,170,47,20,13,5,6,77.7,41.7,53.6,4.3,41.8,54.2,3.3,71.2,63.2,17.5,7.4,4.8,1.9,2.2,8,-9.6,0,-12.0,0
Kemenesszentpéter,19089,503,389,389,388,128,219,34,128,222,29,507,311,305,198,52,21,18,1,4,77.3,32.9,56.3,8.7,33.0,57.2,7.5,61.3,64.9,17.0,6.9,5.9,0.3,1.3,8,-8.6,0,-23.4,0
Kerta,19090,408,300,300,300,90,189,18,90,189,17,430,278,271,182,39,15,14,3,5,73.5,30.0,63.0,6.0,30.0,63.0,5.7,64.7,67.2,14.4,5.5,5.2,1.1,1.8,8,-4.2,0,-33.0,0
Kékkút,19091,47,41,41,41,23,15,2,22,16,3,60,54,50,20,16,0,3,8,0,87.2,56.1,36.6,4.9,53.7,39.0,7.3,90.0,40.0,32.0,0.0,6.0,16.0,0.0,8,-3.4,1,19.5,0
Királyszentistván,19092,365,295,294,295,161,111,14,167,103,17,391,260,257,83,78,39,13,5,13,80.8,54.8,37.8,4.8,56.6,34.9,5.8,66.5,32.3,30.4,15.2,5.1,1.9,5.1,8,5.5,1,17.0,0
Kisapáti,19093,275,220,218,218,85,114,17,85,106,22,299,212,204,110,54,7,15,3,2,80.0,39.0,52.3,7.8,39.0,48.6,10.1,70.9,53.9,26.5,3.4,7.4,1.5,1.0,8,-1.6,0,-13.3,0
Kisberzseny,19094,76,52,50,51,24,18,6,23,19,7,87,64,58,33,10,4,5,1,2,68.4,48.0,36.0,12.0,45.1,37.3,13.7,73.6,56.9,17.2,6.9,8.6,1.7,3.4,8,-20.9,1,12.0,0
Kiscsősz,19095,83,69,69,69,25,37,6,23,38,6,90,67,66,38,12,5,7,1,1,83.1,36.2,53.6,8.7,33.3,55.1,8.7,74.4,57.6,18.2,7.6,10.6,1.5,1.5,8,-4.0,0,-17.4,0
Kislőd,19096,956,726,719,712,340,327,39,312,293,41,995,665,654,352,151,31,46,12,26,75.9,47.3,45.5,5.4,43.8,41.2,5.8,66.8,53.8,23.1,4.7,7.0,1.8,4.0,7,-8.3,1,1.8,0
Kispirit,19097,58,43,43,43,12,28,2,12,28,3,64,37,37,27,4,2,2,0,2,74.1,27.9,65.1,4.7,27.9,65.1,7.0,57.8,73.0,10.8,5.4,5.4,0.0,5.4,8,-7.9,0,-37.2,0
Kisszőlős,19098,89,60,60,59,11,46,3,10,46,3,97,68,66,58,2,1,2,0,2,67.4,18.3,76.7,5.0,16.9,78.0,5.1,70.1,87.9,3.0,1.5,3.0,0.0,3.0,8,-11.2,0,-58.3,0
Kolontár,19099,540,410,408,406,203,174,20,200,173,22,571,313,306,152,91,21,13,8,10,75.9,49.8,42.6,4.9,49.3,42.6,5.4,54.8,49.7,29.7,6.9,4.2,2.6,3.3,8,-7.0,1,7.1,0
Köveskál,19100,261,218,217,217,82,115,10,82,113,10,282,162,158,95,41,8,8,0,0,83.5,37.8,53.0,4.6,37.8,52.1,4.6,57.4,60.1,25.9,5.1,5.1,0.0,0.0,8,-7.1,0,-15.2,0
Kővágóörs,19101,510,407,405,406,207,176,18,208,166,30,570,395,383,185,103,21,33,12,16,79.8,51.1,43.5,4.4,51.2,40.9,7.4,69.3,48.3,26.9,5.5,8.6,3.1,4.2,8,-4.8,1,7.7,0
Kup,19102,352,273,272,266,128,120,15,114,105,11,351,233,229,126,60,19,14,2,3,77.6,47.1,44.1,5.5,42.9,39.5,4.1,66.4,55.0,26.2,8.3,6.1,0.9,1.3,8,-10.9,1,2.9,0
Külsővat,19103,548,418,413,410,177,208,19,174,208,21,578,380,368,200,87,21,26,3,10,76.3,42.9,50.4,4.6,42.4,50.7,5.1,65.7,54.3,23.6,5.7,7.1,0.8,2.7,8,-4.0,0,-7.5,0
Küngös,19104,413,333,331,332,145,144,31,144,143,30,439,301,290,142,50,23,28,4,16,80.6,43.8,43.5,9.4,43.4,43.1,9.0,68.6,49.0,17.2,7.9,9.7,1.4,5.5,8,-5.5,1,0.3,0
Lesencefalu,19105,240,188,185,188,103,70,10,101,71,8,240,133,132,62,35,7,9,3,11,78.3,55.7,37.8,5.4,53.7,37.8,4.3,55.4,47.0,26.5,5.3,6.8,2.3,8.3,8,-9.1,1,17.8,0
Lesenceistvánd,19106,747,574,574,573,259,270,37,257,250,56,763,450,445,246,111,9,45,5,9,76.8,45.1,47.0,6.4,44.9,43.6,9.8,59.0,55.3,24.9,2.0,10.1,1.1,2.0,8,-8.2,0,-1.9,0
Lesencetomaj,19107,722,526,524,525,237,247,29,234,246,35,753,353,349,195,83,16,21,11,13,72.9,45.2,47.1,5.5,44.6,46.9,6.7,46.9,55.9,23.8,4.6,6.0,3.2,3.7,7,-8.7,0,-1.9,0
Litér,19108,1739,1435,1429,1432,864,465,70,858,473,74,1757,1162,1140,444,358,88,86,43,55,82.5,60.5,32.5,4.9,59.9,33.0,5.2,66.1,38.9,31.4,7.7,7.5,3.8,4.8,6,-6.4,1,27.9,0
Lovas,19109,436,378,378,378,195,158,21,190,152,33,440,313,299,137,103,13,21,7,5,86.7,51.6,41.8,5.6,50.3,40.2,8.7,71.1,45.8,34.4,4.3,7.0,2.3,1.7,8,-4.0,1,9.8,0
Lovászpatona,19110,910,669,658,664,220,394,31,216,396,36,929,630,614,424,82,23,33,9,19,73.5,33.4,59.9,4.7,32.5,59.6,5.4,67.8,69.1,13.4,3.7,5.4,1.5,3.1,7,-9.2,0,-26.4,0
Lókút,19111,370,308,305,304,168,120,15,160,86,21,368,261,256,126,60,6,26,6,13,83.2,55.1,39.3,4.9,52.6,28.3,6.9,70.9,49.2,23.4,2.3,10.2,2.3,5.1,8,-9.9,1,15.7,0
Magyargencs,19112,385,278,273,275,119,134,14,118,137,13,398,227,224,121,45,23,20,0,6,72.2,43.6,49.1,5.1,42.9,49.8,4.7,57.0,54.0,20.1,10.3,8.9,0.0,2.7,8,-4.9,0,-5.5,0
Magyarpolány,19113,1036,866,859,852,472,329,40,432,266,31,1074,741,712,336,235,52,40,10,23,83.6,54.9,38.3,4.7,50.7,31.2,3.6,69.0,47.2,33.0,7.3,5.6,1.4,3.2,7,-8.9,1,16.6,0
Malomsok,19114,405,331,326,326,106,202,17,102,207,14,433,288,282,205,41,1,9,7,9,81.7,32.5,62.0,5.2,31.3,63.5,4.3,66.5,72.7,14.5,0.4,3.2,2.5,3.2,8,-10.7,0,-29.4,0
Marcalgergelyi,19115,289,225,225,225,95,113,16,93,116,16,305,238,229,160,27,11,13,3,5,77.9,42.2,50.2,7.1,41.3,51.6,7.1,78.0,69.9,11.8,4.8,5.7,1.3,2.2,8,-19.6,0,-8.0,0
Marcaltő,19116,609,501,497,499,239,217,34,235,224,31,613,437,426,227,99,29,35,9,11,82.3,48.1,43.7,6.8,47.1,44.9,6.2,71.3,53.3,23.2,6.8,8.2,2.1,2.6,8,-9.6,1,4.4,0
Márkó,19117,1358,1196,1193,1189,686,411,74,676,360,74,1389,949,937,361,325,43,80,36,50,88.1,57.5,34.5,6.2,56.9,30.3,6.2,68.3,38.5,34.7,4.6,8.5,3.8,5.3,7,-4.1,1,23.1,0
Megyer,19118,24,18,18,18,6,12,0,6,12,0,24,10,10,8,2,0,0,0,0,75.0,33.3,66.7,0.0,33.3,66.7,0.0,41.7,80.0,20.0,0.0,0.0,0.0,0.0,8,-13.3,0,-33.3,0
Mencshely,19119,226,177,172,173,100,64,8,100,61,11,226,144,140,65,41,9,8,4,2,78.3,58.1,37.2,4.7,57.8,35.3,6.4,63.7,46.4,29.3,6.4,5.7,2.9,1.4,8,-9.2,1,20.9,0
Mezőlak,19120,736,580,572,574,277,247,39,268,254,42,770,466,454,246,125,20,34,8,6,78.8,48.4,43.2,6.8,46.7,44.3,7.3,60.5,54.2,27.5,4.4,7.5,1.8,1.3,8,-11.0,1,5.2,0
Mihályháza,19121,580,436,425,431,187,193,27,193,205,21,598,426,417,240,78,40,25,0,9,75.2,44.0,45.4,6.4,44.8,47.6,4.9,71.2,57.6,18.7,9.6,6.0,0.0,2.2,8,-12.1,0,-1.4,0
Mindszentkálla,19122,200,167,165,166,74,78,8,77,74,13,201,159,154,70,39,7,7,8,14,83.5,44.8,47.3,4.8,46.4,44.6,7.8,79.1,45.5,25.3,4.5,4.5,5.2,9.1,8,1.8,0,-2.4,0
Monostorapáti,19123,854,691,687,686,291,358,34,291,333,56,898,535,531,308,104,32,35,10,13,80.9,42.4,52.1,4.9,42.4,48.5,8.2,59.6,58.0,19.6,6.0,6.6,1.9,2.4,7,-5.9,0,-9.8,0
Monoszló,19124,88,77,77,76,45,30,2,42,28,3,91,62,60,29,23,0,2,1,3,87.5,58.4,39.0,2.6,55.3,36.8,3.9,68.1,48.3,38.3,0.0,3.3,1.7,5.0,8,-9.4,1,19.5,0
Nagyacsád,19125,508,412,409,407,225,136,31,225,135,32,516,349,334,130,108,40,21,5,11,81.1,55.0,33.3,7.6,55.3,33.2,7.9,67.6,38.9,32.3,12.0,6.3,1.5,3.3,8,-5.7,1,21.8,0
Nagyalásony,19126,398,279,274,278,98,156,19,93,160,23,418,233,228,153,38,6,13,3,7,70.1,35.8,56.9,6.9,33.5,57.6,8.3,55.7,67.1,16.7,2.6,5.7,1.3,3.1,8,-10.2,0,-21.2,0
Nagydém,19127,250,181,178,179,47,114,16,45,116,15,259,151,151,111,16,8,9,1,1,72.4,26.4,64.0,9.0,25.1,64.8,8.4,58.3,73.5,10.6,5.3,6.0,0.7,0.7,8,-9.5,0,-37.6,0
Nagyesztergár,19128,918,746,741,732,377,320,37,350,290,39,936,571,553,297,119,19,55,9,20,81.3,50.9,43.2,5.0,47.8,39.6,5.3,61.0,53.7,21.5,3.4,9.9,1.6,3.6,7,-10.5,1,7.7,0
Nagygyimót,19129,430,342,337,338,119,184,29,116,189,28,450,357,345,224,55,25,22,4,4,79.5,35.3,54.6,8.6,34.3,55.9,8.3,79.3,64.9,15.9,7.2,6.4,1.2,1.2,8,-10.3,0,-19.3,0
Nagypirit,19130,190,152,152,152,62,75,14,62,76,12,215,123,118,76,27,2,7,1,1,80.0,40.8,49.3,9.2,40.8,50.0,7.9,57.2,64.4,22.9,1.7,5.9,0.8,0.8,8,-15.1,0,-8.6,0
Nagytevel,19131,412,349,348,339,169,157,16,158,138,17,430,314,304,165,82,17,20,6,3,84.7,48.6,45.1,4.6,46.6,40.7,5.0,73.0,54.3,27.0,5.6,6.6,2.0,1.0,8,-9.2,1,3.4,0
Nagyvázsony,19132,1378,1115,1108,1111,611,439,45,610,412,62,1452,917,903,404,282,44,60,34,38,80.9,55.1,39.6,4.1,54.9,37.1,5.6,63.2,44.7,31.2,4.9,6.6,3.8,4.2,7,-5.1,1,15.5,0
Nemesgörzsöny,19133,522,416,413,415,198,178,26,190,191,21,518,345,340,213,58,27,12,5,13,79.7,47.9,43.1,6.3,45.8,46.0,5.1,66.6,62.6,17.1,7.9,3.5,1.5,3.8,8,-19.5,1,4.8,0
Nemesgulács,19134,759,624,617,620,275,298,39,269,287,50,806,516,500,262,126,26,31,13,12,82.2,44.6,48.3,6.3,43.4,46.3,8.1,64.0,52.4,25.2,5.2,6.2,2.6,2.4,8,-4.1,0,-3.7,0
Nemeshany,19135,280,221,219,220,92,123,4,96,117,7,300,202,198,128,37,9,7,3,4,78.9,42.0,56.2,1.8,43.6,53.2,3.2,67.3,64.6,18.7,4.5,3.5,1.5,2.0,8,-8.5,0,-14.2,0
Nemesszalók,19136,663,548,545,546,223,272,41,220,277,41,715,501,489,303,91,16,36,5,17,82.7,40.9,49.9,7.5,40.3,50.7,7.5,70.1,62.0,18.6,3.3,7.4,1.0,3.5,8,-12.1,0,-9.0,0
Nemesvámos,19137,2350,2012,1997,2002,1068,770,130,1095,727,150,2420,1460,1443,639,466,66,102,49,66,85.6,53.5,38.6,6.5,54.7,36.3,7.5,60.3,44.3,32.3,4.6,7.1,3.4,4.6,6,-5.7,1,14.9,0
Nemesvita,19138,272,223,219,222,114,93,8,113,95,8,283,191,187,91,54,19,7,6,4,82.0,52.1,42.5,3.7,50.9,42.8,3.6,67.5,48.7,28.9,10.2,3.7,3.2,2.1,8,-6.2,1,9.6,0
