telep,maztaz,OGY26nevj,OGY26megj,OGY26erv,OGY26ervL,OGY26TiszaE,OGY26FideszE,OGY26MiHazankE,OGY26TiszaL,OGY26FideszL,OGY26MiHazankL,EP24Nevj,EP24Megj,EP24Erv,EP24Fidesz,EP24Tisza,EP24Bal,EP24MiHaz,EP24Momo,EP24MKKP,OGY26Reszv,OGY26TiszaEF,OGY26FideszEF,OGY26MiHazankEF,OGY26TiszaLF,OGY26FideszLF,OGY26MiHazankLF,EP24Reszv,EP24FideszF,EP24TiszaF,EP24BalF,EP24MiHazF,EP24MomoF,EP24MKKPF,kat,FideszKul,atfordult,kul,
Okorág,2198,115,70,69,69,26,39,2,24,41,2,115,52,50,38,4,2,3,0,3,60.9,37.7,56.5,2.9,34.8,59.4,2.9,45.2,76.0,8.0,4.0,6.0,0.0,6.0,8,-19.5,0,-18.8,0
Okorvölgy,2199,57,41,40,40,22,17,1,19,17,1,76,63,61,38,7,4,3,1,6,71.9,55.0,42.5,2.5,47.5,42.5,2.5,82.9,62.3,11.5,6.6,4.9,1.6,9.8,8,-19.8,1,12.5,0
Olasz,2200,473,390,388,387,190,174,19,183,153,17,475,349,337,173,75,34,31,6,4,82.5,49.0,44.8,4.9,47.3,39.5,4.4,73.5,51.3,22.3,10.1,9.2,1.8,1.2,8,-6.5,1,4.1,0
Old,2201,217,132,132,117,27,103,1,21,50,0,230,199,192,158,6,3,2,2,8,60.8,20.5,78.0,0.8,17.9,42.7,0.0,86.5,82.3,3.1,1.6,1.0,1.0,4.2,8,-4.3,0,-57.6,0
Orfű,2202,914,752,750,750,463,219,51,456,227,45,946,662,647,228,217,52,39,26,51,82.3,61.7,29.2,6.8,60.8,30.3,6.0,70.0,35.2,33.5,8.0,6.0,4.0,7.9,7,-6.0,1,32.5,0
Oroszló,2203,233,177,176,173,99,70,7,98,57,7,244,177,175,85,43,11,14,2,6,76.0,56.3,39.8,4.0,56.6,32.9,4.0,72.5,48.6,24.6,6.3,8.0,1.1,3.4,8,-8.8,1,16.5,0
Óbánya,2204,85,72,71,71,28,38,4,26,23,5,102,81,77,38,25,0,8,0,4,84.7,39.4,53.5,5.6,36.6,32.4,7.0,79.4,49.4,32.5,0.0,10.4,0.0,5.2,8,4.2,0,-14.1,0
Ócsárd,2205,288,221,218,219,99,99,16,103,93,19,304,190,186,89,33,20,19,1,10,76.7,45.4,45.4,7.3,47.0,42.5,8.7,62.5,47.8,17.7,10.8,10.2,0.5,5.4,8,-2.4,0,0.0,0
Ófalu,2206,259,209,208,205,73,117,11,60,72,11,284,202,194,126,29,5,16,2,8,80.7,35.1,56.3,5.3,29.3,35.1,5.4,71.1,64.9,14.9,2.6,8.2,1.0,4.1,8,-8.7,0,-21.2,0
Ózdfalu,2207,110,84,83,82,44,38,0,44,37,0,116,99,94,54,21,14,2,0,1,76.4,53.0,45.8,0.0,53.7,45.1,0.0,85.3,57.4,22.3,14.9,2.1,0.0,1.1,8,-11.7,1,7.2,0
Palé,2208,64,47,47,46,16,26,3,16,23,3,69,44,43,19,6,8,4,3,0,73.4,34.0,55.3,6.4,34.8,50.0,6.5,63.8,44.2,14.0,18.6,9.3,7.0,0.0,8,11.1,0,-21.3,0
