country,region,name,2004,2010,2019,2024,diff_2004_2024,diff_2010_2024
Lithuania,CEE,% of DE,43.03724573680693,49.00625229332364,68.38468023783818,75.07426638260425,32.03702064579732,26.06801408928061
Lithuania,CEE,% of W_EUR3,43.6737432158524,52.260849880305756,76.66572187318329,82.17866970589526,38.50492649004286,29.917819825589504
Lithuania,CEE,% of S_EUR4,47.680976647192665,59.95282468061994,92.51337399344244,95.97249932310775,48.29152267591509,36.019674642487814
Lithuania,CEE,% of G7,42.53041903691653,50.92673077092753,72.14662776651082,74.89432687433164,32.36390783741511,23.967596103404112
Lithuania,CEE,% of EU8,42.825900537134316,49.76143427300505,71.56130317260086,77.33355887464117,34.507658337506854,27.57212460163612
Lithuania,CEE,% of World,158.01459810487856,168.6283461115982,221.69045933773728,221.78722617624095,63.77262807136239,53.158880064642744
Lithuania,CEE,% of LAT_AM,133.46683162032588,141.54549188223208,213.50307851558858,221.83925717509027,88.37242555476439,80.29376529285818
Lithuania,CEE,rel_val,106.22289041291897,130.60912192393798,209.18025079049252,229.1289544856154,122.90606407269642,98.51983256167742
Latvia,CEE,value,20.574118201251,24.119730784893903,35.208193459085905,38.936045387045404,18.361927185794404,14.8163146021515
Latvia,CEE,% of DE,40.49214771847307,43.96161764031487,55.91201060509243,61.97066975215436,21.478522033681287,18.009052111839488
Latvia,CEE,% of W_EUR3,41.09100458077229,46.881191531328184,62.68267453342118,67.83505782209612,26.744053241323826,20.953866290767934
Latvia,CEE,% of S_EUR4,44.8612618373946,53.78136526929055,75.63987620976197,79.22128776498151,34.36002592758691,25.439922495690958
Latvia,CEE,% of G7,40.01529328115305,45.684404765793104,58.987817194922215,61.82213720725145,21.806843926098402,16.137732441458347
Latvia,CEE,% of EU8,40.29330086156525,44.63906224964553,58.509249849307764,63.83562129472426,23.542320433159013,19.196559045078736
Latvia,CEE,% of World,148.67007259867023,151.26998144452457,181.25637599575944,183.0760873315565,34.40601473288626,31.80610588703192
Latvia,CEE,% of LAT_AM,125.57398990021369,126.974998120489,174.56229010161184,183.11903674687454,57.54504684666085,56.14403862638554
Latvia,CEE,rel_val,117.5073921528717,137.7578682225071,201.08871521596575,222.38003638471167,104.87264423183997,84.62216816220456
Poland,CEE,value,20.8786545002534,27.1121333797381,38.1816230334689,45.1125993993196,24.2339448990662,18.0004660195815
Poland,CEE,% of DE,41.09150894913289,49.41569421660969,60.63393495175313,71.80128262246758,30.709773673334695,22.385588405857895
Poland,CEE,% of W_EUR3,41.699230038355125,52.6974836134768,67.97640022473468,78.59595802135784,36.89672798300272,25.898474407881046
Poland,CEE,% of S_EUR4,45.52529431328983,60.453724029069164,82.02787351459769,91.78842338284596,46.263129069556136,31.3346993537768
Poland,CEE,% of G7,40.60759615411881,51.35221808362212,63.969501937693835,71.62918786735422,31.02159171323541,20.2769697837321
Poland,CEE,% of EU8,40.88971877843253,50.17718565983345,63.45051825261461,73.96207761340139,33.07235883496886,23.784891953567943
Poland,CEE,% of World,150.87067401637105,170.03721765597223,196.56397959540374,212.11805424213065,61.2473802257596,42.080836586158426
Poland,CEE,% of LAT_AM,127.43272512089744,142.72808911659814,189.30455958395046,212.1678168656436,84.73509174474616,69.43972774904546
Poland,CEE,rel_val,162.8414282492838,211.4589578743233,297.7945742418587,351.8521808066619,189.0107525573781,140.39322293233863
Romania,CEE,value,19.5315056332132,24.9016621955938,36.6354689017771,40.610754138069304,21.079248504856103,15.709091942475503
Romania,CEE,% of DE,38.44017048644006,45.38679812863399,58.17858073686795,64.6361387772977,26.195968290857643,19.24934064866371
Romania,CEE,% of W_EUR3,39.00867972047248,48.401020942207936,65.2237149349323,70.75276463673515,31.744084916262672,22.351743694527215
Romania,CEE,% of S_EUR4,42.58787568532816,55.52488965558762,78.7061777491423,82.62873663577872,40.040860950450565,27.1038469801911
Romania,CEE,% of G7,37.98748109107281,47.16543585125921,61.379074871863416,64.48121758274412,26.493736491671314,17.31578173148491
Romania,CEE,% of EU8,38.25140037887813,46.08620464225658,60.88110728576622,66.5813052116865,28.329904832808367,20.495100569429916
Romania,CEE,% of World,141.13607844804653,156.17396445504576,188.60417629089753,190.9505163473852,49.81443789933866,34.77655189233943
Romania,CEE,% of LAT_AM,119.21041121324699,131.09136825286845,181.63872445975332,190.9953130936525,71.78490188040551,59.90394484078405
Romania,CEE,rel_val,119.7074582610611,152.62083445533565,224.536651028905,248.90094226357792,129.1934840025168,96.28010780824226
Slovakia,CEE,value,21.8429135856629,29.7458613949846,37.1941375926927,40.3465748138478,18.503661228184903,10.6007134188632
Slovakia,CEE,% of DE,42.98927783251118,54.216035688387905,59.06576882300207,64.21567055835206,21.22639272584088,9.999634869964154
Slovakia,CEE,% of W_EUR3,43.62506589231671,57.816624810588586,66.2183370465544,70.29250680736837,26.667440915051657,12.475881996779783
Slovakia,CEE,% of S_EUR4,47.627832992542274,66.32632226290383,79.9063992450913,82.09122374617559,34.46339075363331,15.764901483271757
Slovakia,CEE,% of G7,42.48301602505798,56.34067743934951,62.31506855329303,64.06175715046369,21.578741125405713,7.721079711114179
Slovakia,CEE,% of EU8,42.77816819127493,55.051499965814656,61.80950726339504,66.14818338004535,23.370015188770424,11.096683414230696
Slovakia,CEE,% of World,157.83848021003044,186.5549802939276,191.48027564019614,189.70835329380353,31.869873083773086,3.153372999875927
Slovakia,CEE,% of LAT_AM,133.31807386187234,156.59298722712134,184.40860489135295,189.75285863021136,56.43478476833903,33.15987140309002
Slovakia,CEE,rel_val,124.6671145294297,169.77271345976183,212.28330153423826,230.27564722362186,105.60853269419216,60.50293376386003
Slovenia,CEE,value,34.306738849644304,38.0657361511822,44.580777765879404,48.495889687081,14.189150837436692,10.430153535898796
Slovenia,CEE,% of DE,67.51946905575808,69.38018308742677,70.79604700893485,77.1861326506189,9.666663594860822,7.805949563192129
Slovenia,CEE,% of W_EUR3,68.51804531464084,73.98785182139113,79.36909306047505,84.49038540908609,15.972340094445244,10.502533587694955
Slovenia,CEE,% of S_EUR4,74.80483874285459,84.87769944237267,95.77556188631482,98.67224044271589,23.867401699861304,13.794541000343216
Slovenia,CEE,% of G7,66.72432826331152,72.09908408793795,74.69064757091407,77.00113137889373,10.276803115582211,4.902047290955778
Slovenia,CEE,% of EU8,67.18789775222612,70.44932552462065,74.08468337949263,79.50897985765225,12.321082105426129,9.059654333031602
Slovenia,CEE,% of World,247.90298692315824,238.73414063426617,229.50766350184165,228.02618106993367,-19.876805853224567,-10.707959564332498
Slovenia,CEE,% of LAT_AM,209.3909462206042,200.39182109273494,221.03158091215994,228.07967571960046,18.688729498996253,27.687854626865516
Slovenia,CEE,rel_val,135.32476910970306,150.15233532472635,175.85126596669107,191.29463466160698,55.96986555190392,41.142299336880626
