country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of EU8-2004,var_name
Czechia,2024,143.37355283986665,122.67266741777459,47.961809513148296,76.33608982395403,78.63335575702051,GDP_per_cap
Estonia,2004,100,NA,27.6653068254089,54.44839383605873,54.18101132888091,GDP_per_cap
Estonia,2005,110.15160232749992,NA,30.4737787570071,59.415493318789586,58.922759810202685,GDP_per_cap
Estonia,2006,121.62026150981644,NA,33.646618508555406,63.094929511711015,63.07379385069129,GDP_per_cap
Estonia,2007,131.42621862106856,NA,36.3594666305513,66.17838845360747,66.3609003488996,GDP_per_cap
Estonia,2008,125.02500061543043,NA,34.5885500287282,62.26863112389658,62.82226430836224,GDP_per_cap
Estonia,2009,106.93951146802841,NA,29.585143965223402,56.24527221567763,56.26589980505665,GDP_per_cap
Estonia,2010,109.80940612700539,100,30.3791091281954,55.370219164450766,56.22346930636583,GDP_per_cap
Estonia,2011,118.52184610320028,107.93414724975209,32.7894323795893,56.540945334929596,58.71522057491362,GDP_per_cap
Estonia,2012,123.31459916409607,112.29875792377075,34.115362219270295,58.659653506886976,61.23271880398012,GDP_per_cap
Estonia,2013,125.92798326767367,114.67868528678278,34.838362950051504,59.835416074247476,62.50463012973583,GDP_per_cap
Estonia,2014,130.4539809465344,118.80037015740848,36.0904940948192,60.92318724824778,64.03094301142166,GDP_per_cap
Estonia,2015,132.76486496773066,120.9048201336915,36.7298072496625,61.52464734938434,64.54653996655053,GDP_per_cap
Estonia,2016,136.83146725769882,124.608147957234,37.8548452505513,62.48913114187526,65.70710777575371,GDP_per_cap
Estonia,2017,144.3665809196063,131.47014086628621,39.939457564761305,64.42731551732805,67.96734309702681,GDP_per_cap
Estonia,2018,149.18757204101738,135.8604670609613,41.273199550525405,66.04187541032462,69.45152960640627,GDP_per_cap
Estonia,2019,154.17336641996698,140.40087444025542,42.652534863145796,67.73392063905678,70.88031431985034,GDP_per_cap
Estonia,2020,149.43179525064843,136.08287351797156,41.3407646508087,68.5100106599158,72.45917371558286,GDP_per_cap
Estonia,2021,159.9531780999557,145.66436860149676,44.2515374983455,70.76762497938887,73.92113836937423,GDP_per_cap
Estonia,2022,157.92492202908667,143.81729908131092,43.690414233134604,69.42483341500231,71.72776932416494,GDP_per_cap
Estonia,2023,150.75386611818382,137.28684220714402,41.7065196127617,66.53185683483446,68.57147286983333,GDP_per_cap
Estonia,2024,150.17408065994996,136.7588496801985,41.5461201868122,66.12486881980247,68.1148372452032,GDP_per_cap
Croatia,2004,100,NA,26.530769608628802,52.21549869447391,51.959081379456215,GDP_per_cap
Croatia,2005,104.19285977544958,NA,27.6431675756662,53.89657946586349,53.44961438625774,GDP_per_cap
Croatia,2006,109.4616325954181,NA,29.0410135537341,54.45839089760487,54.44014832092559,GDP_per_cap
Croatia,2007,115.01335659952295,NA,30.5139286585701,55.53884066923396,55.69200999398982,GDP_per_cap
Croatia,2008,117.29143090147808,NA,31.1183193031352,56.02128867134256,56.51937645463226,GDP_per_cap
Croatia,2009,109.41409878527486,NA,29.0284024680788,55.18683298355928,55.207072397203646,GDP_per_cap
Croatia,2010,108.19956702001201,100,28.7061778436133,52.321065501534264,53.127328457289245,GDP_per_cap
Croatia,2011,108.46765461838596,100.24777141513363,28.7773035466872,49.62257131760377,51.53080131837727,GDP_per_cap
Croatia,2012,106.52710855811581,98.45428359099914,28.2624617422876,48.59588482158289,50.72750983708473,GDP_per_cap
Croatia,2013,107.05802730084082,98.94496831123172,28.403318570729,48.78312987913967,50.95930954809255,GDP_per_cap
Croatia,2014,107.28059005902743,99.15066484432917,28.4623661833381,48.04639304632355,50.497290014024856,GDP_per_cap
Croatia,2015,111.0915637779359,102.67283579553418,29.4734468405471,49.36980503898911,51.79469093083401,GDP_per_cap
Croatia,2016,116.19200235730148,107.38675353091868,30.8266324490682,50.88726330862906,53.50778341023523,GDP_per_cap
Croatia,2017,121.94796105477074,112.70651483495853,32.3537325898616,52.19059708936562,55.05826512137618,GDP_per_cap
Croatia,2018,127.14600716698065,117.51064322047093,33.7328142280423,53.976389975795705,56.7631192051952,GDP_per_cap
Croatia,2019,132.39535801557437,122.3621883727938,35.125507407631304,55.7807018689258,58.37184152561085,GDP_per_cap
Croatia,2020,122.48228918541679,113.20035057327274,32.4954939551574,53.851607634052634,56.95580769632336,GDP_per_cap
Croatia,2021,139.2066431977082,128.6573015324186,36.9325937866899,59.06307654757302,61.695017393415306,GDP_per_cap
Croatia,2022,150.25603204434034,138.86934687691476,39.8640816847514,63.34472398082709,65.4459726599477,GDP_per_cap
Croatia,2023,155.05563418178966,143.3052261226807,41.1374530699689,65.62405982597065,67.63584622530492,GDP_per_cap
Croatia,2024,160.69555203165612,148.51774037315207,42.6337666808329,67.85596865333798,69.89803297051795,GDP_per_cap
Hungary,2004,100,NA,26.568118861864,52.28900616946656,52.032227877538894,GDP_per_cap
Hungary,2005,104.50792078649889,NA,27.7657886146197,54.1356567912841,53.68670904010907,GDP_per_cap
Hungary,2006,108.78846067718919,NA,28.9030475407078,54.19967378864212,54.18151787751833,GDP_per_cap
Hungary,2007,109.31924481795129,NA,29.0440669021254,52.8635241339423,53.009315263145616,GDP_per_cap
Hungary,2008,110.59874879120531,NA,29.3840070385818,52.89906323646803,53.36939117376577,GDP_per_cap
Hungary,2009,103.3041127269084,NA,27.445959458479,52.17839949594942,52.197535586092776,GDP_per_cap
Hungary,2010,104.64359166963033,100,27.801833816111,50.67277072134303,51.453633601455564,GDP_per_cap
Hungary,2011,106.95193548338453,102.20591034474606,28.4151173442897,48.99803015343376,50.88224349899286,GDP_per_cap
Hungary,2012,106.06568199633888,101.35898462965437,28.179656464434,48.45350530128895,50.57888493720221,GDP_per_cap
Hungary,2013,108.74319670395599,103.91768379593516,28.8910217544976,49.62076748465426,51.834313553253644,GDP_per_cap
Hungary,2014,113.9145356416579,108.85954297258529,30.2649492302161,51.08927475935696,53.69539231887994,GDP_per_cap
Hungary,2015,118.5088327339499,113.24996671377015,31.4855675425634,52.74022884150133,55.330659100430445,GDP_per_cap
Hungary,2016,121.87150948343736,116.46342364489668,32.378967498307496,53.44979045214264,56.20227194160655,GDP_per_cap
Hungary,2017,127.32822793535786,121.67799853176396,33.828714942571004,54.56992718583502,57.56833004817455,GDP_per_cap
Hungary,2018,134.7405944001059,128.76143894744615,35.798041275402205,57.280991238627514,60.23833263632455,GDP_per_cap
Hungary,2019,141.75891415557155,135.46831859815916,37.66267681014,59.80982772296402,62.58812938070645,GDP_per_cap
Hungary,2020,135.95061570358797,129.91776518221667,36.1195211735652,59.85735391044829,63.30774675663473,GDP_per_cap
