country,year,rel_val-2004,rel_val-2010,value-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Hungary,2019,171.64859419750874,166.65382637601402,13.96023003,62.037134782641154,46.3027255258895,min_wage
Hungary,2020,179.50111674567302,174.27784995438188,14.59887797,61.527369897616644,48.51305260914025,min_wage
Hungary,2021,176.42994217511125,171.29604287320126,14.34909845,61.717737990318255,47.72673403641032,min_wage
Hungary,2022,185.1005713547771,179.71436716321054,15.05428324,66.49083273744775,50.54710313998078,min_wage
Hungary,2023,185.61418073380668,180.21303112651336,15.09605524,63.835144455359504,47.48408231026502,min_wage
Hungary,2024,203.29168072994895,197.37613711577197,16.53377145,68.0141153983204,51.66494079198599,min_wage
Latvia,2004,99.99999999999999,NA,5.794270232,35.97555288874487,21.289494682038697,min_wage
Latvia,2005,93.67817137735457,NA,5.427966398,32.36626227512539,19.55349801811921,min_wage
Latvia,2006,98.92220427250518,NA,5.7318198350000005,33.057773002007856,20.313196397199533,min_wage
Latvia,2007,119.80442476884464,NA,6.941792121000001,39.04132563301916,24.366353119953796,min_wage
Latvia,2008,138.41943697595912,NA,8.020396232,44.45537302837161,28.11188270501341,min_wage
Latvia,2009,150.40634690922712,NA,8.714950186,46.17920104036431,29.884040252006553,min_wage
Latvia,2010,152.05559394420735,100,8.810512016,46.800569165322464,30.407711596675725,min_wage
Latvia,2011,161.8754994408069,106.4581020940293,9.379503877,50.793076179417476,32.527817306973716,min_wage
Latvia,2012,158.3013904899284,104.10757433101263,9.172410346000001,52.340165938275305,31.59930363310611,min_wage
Latvia,2013,158.34803022007208,104.13824714543128,9.175112778,52.86517649993532,31.528972095851046,min_wage
Latvia,2014,177.32004650486587,116.61527333872941,10.274402669999999,58.98999243715623,35.16121130464505,min_wage
Latvia,2015,199.1380881111794,130.96400003820162,11.53859896,65.29053490473189,38.87634554029502,min_wage
Latvia,2016,204.38234006756628,134.41290436349144,11.84246509,65.98383245539338,39.88391260421413,min_wage
Latvia,2017,203.93025587143515,134.1155892931251,11.81627011,62.93272153315594,39.23197104296265,min_wage
Latvia,2018,225.05914408308186,148.0110913681092,13.04053499,68.09526598604559,43.77186373665625,min_wage
Latvia,2019,218.90484982820524,143.9636939029855,12.68393855,56.36548994609138,42.06957363924603,min_wage
Latvia,2020,218.42622044280245,143.6489212774033,12.656205470000002,53.33992359228749,42.05742133470266,min_wage
Latvia,2021,245.92796969155927,161.7355621798405,14.24973114,61.29034350105802,47.39622705767511,min_wage
Latvia,2022,209.6388123721876,137.86984545212383,12.147039300000001,53.65029642895867,40.78557833368491,min_wage
Latvia,2023,238.62389147196407,156.9320044611582,13.82651311,58.46676152536204,43.49078458851734,min_wage
Latvia,2024,266.0463813866526,174.96652012965146,15.41544628,63.4137193304755,48.17038397722867,min_wage
Lithuania,2004,100,NA,6.73941969,41.84381117712488,24.762193322964418,min_wage
Lithuania,2005,105.80781266049925,NA,7.13083256,42.52023316909336,25.687837784124014,min_wage
Lithuania,2006,111.70785875185642,NA,7.528461428,43.419747323791434,26.68037725503723,min_wage
Lithuania,2007,119.42671706501187,NA,8.048667685,45.266503307041845,28.251592029756644,min_wage
Lithuania,2008,132.5089680681394,NA,8.930335484999999,49.49897533368883,31.301264477320778,min_wage
Lithuania,2009,126.85984472351507,NA,8.549617354,45.303127405455214,29.31710493958178,min_wage
Lithuania,2010,125.2080713050236,100,8.438297410999999,44.82340196618455,29.123087690555785,min_wage
Lithuania,2011,120.24175339642635,96.03354811168792,8.103596404,43.883620591591075,28.103011290941566,min_wage
Lithuania,2012,119.67512094502013,95.58099545633567,8.065408665,46.023325599491606,27.785640602261385,min_wage
Lithuania,2013,144.28572865744766,115.23676321628528,9.724020807,56.02787548112889,33.41521658660292,min_wage
Lithuania,2014,145.42760232817614,116.1487440964529,9.800976466,56.27183848791924,33.541045215125806,min_wage
Lithuania,2015,156.91018509636697,125.31954486712984,10.57483591,59.83713408249585,35.629193483043125,min_wage
Lithuania,2016,181.62645039249662,145.05969822826384,12.24056876,68.2019859953467,41.224675009763,min_wage
Lithuania,2017,182.30359044459507,145.60051005056948,12.28620407,65.4355606497588,40.79222951193774,min_wage
Lithuania,2018,186.85725639977173,149.23738897356105,12.59309473,65.7588155612026,42.269985623064066,min_wage
Lithuania,2019,253.34988642026534,202.34309480182884,17.07431213,75.87564106418199,56.63138690407063,min_wage
Lithuania,2020,273.80190177768856,218.67751729093447,18.45265928,77.76923647477057,61.31942689491363,min_wage
Lithuania,2021,276.6332089046676,220.93879892994448,18.64347295,80.18852074693834,62.010312222762686,min_wage
Lithuania,2022,262.7723168253972,209.86851253802058,17.709329259999997,78.21747677699794,59.46183410888843,min_wage
Lithuania,2023,277.10368783992436,221.31455660303462,18.6751805,78.9698252950625,58.742088176212604,min_wage
Lithuania,2024,302.6479143340011,241.7159781949762,20.39671313,83.90489760702825,63.73591043031948,min_wage
Poland,2004,100,NA,9.210379821,57.185545911524216,33.84107478036175,min_wage
Poland,2005,100.83201551390178,NA,9.28701161,55.377250240927985,33.45517451568887,min_wage
Poland,2006,105.4160308336322,NA,9.709216832,55.99706468434905,34.40883245616031,min_wage
