country,year,value,pop,year_end,value_end,era,start_val,end_val,diff_end_start,country_val_str,facet_id,var,start_year
Estonia,2010,40.46164290563476,1331406,2014,42.03367875647668,2010-2014,31.62274618585298,60.300057703404505,28.677311517551527,Estonia (+29%),% of DE-2006,% of DE,2006
Estonia,2014,42.03367875647668,1314402,2018,48.72907625542468,2014-2018,31.62274618585298,60.300057703404505,28.677311517551527,Estonia (+29%),% of DE-2006,% of DE,2006
Estonia,2018,48.72907625542468,1321918,2022,60.300057703404505,2018-2022,31.62274618585298,60.300057703404505,28.677311517551527,Estonia (+29%),% of DE-2006,% of DE,2006
Hungary,2006,30.79056865464633,10049900,2010,38.22131704005431,2006-2010,30.79056865464633,51.12521638776688,20.334647733120555,Hungary (+20%),% of DE-2006,% of DE,2006
Hungary,2010,38.22131704005431,9979076,2014,40.41450777202073,2010-2014,30.79056865464633,51.12521638776688,20.334647733120555,Hungary (+20%),% of DE-2006,% of DE,2006
Hungary,2014,40.41450777202073,9862785,2018,42.033477991320524,2014-2018,30.79056865464633,51.12521638776688,20.334647733120555,Hungary (+20%),% of DE-2006,% of DE,2006
Hungary,2018,42.033477991320524,9774342,2022,51.12521638776688,2018-2022,30.79056865464633,51.12521638776688,20.334647733120555,Hungary (+20%),% of DE-2006,% of DE,2006
Latvia,2006,23.578363384188627,2218989,2010,21.31704005431093,2006-2010,23.578363384188627,51.52914021927294,27.950776835084312,Latvia (+28%),% of DE-2006,% of DE,2006
Latvia,2010,21.31704005431093,2097787,2014,30.958549222797927,2010-2014,23.578363384188627,51.52914021927294,27.950776835084312,Latvia (+28%),% of DE-2006,% of DE,2006
Latvia,2014,30.958549222797927,1994096,2018,39.863608183508994,2014-2018,23.578363384188627,51.52914021927294,27.950776835084312,Latvia (+28%),% of DE-2006,% of DE,2006
Latvia,2018,39.863608183508994,1927526,2022,51.52914021927294,2018-2022,23.578363384188627,51.52914021927294,27.950776835084312,Latvia (+28%),% of DE-2006,% of DE,2006
Lithuania,2006,27.461858529819693,3269761,2010,30.889341479972845,2006-2010,27.461858529819693,67.62839007501444,40.166531545194744,Lithuania (+40%),% of DE-2006,% of DE,2006
Lithuania,2010,30.889341479972845,3097660,2014,32.05958549222798,2010-2014,27.461858529819693,67.62839007501444,40.166531545194744,Lithuania (+40%),% of DE-2006,% of DE,2006
Lithuania,2014,32.05958549222798,2933118,2018,40.23558586484811,2014-2018,27.461858529819693,67.62839007501444,40.166531545194744,Lithuania (+40%),% of DE-2006,% of DE,2006
Lithuania,2018,40.23558586484811,2802430,2022,67.62839007501444,2018-2022,27.461858529819693,67.62839007501444,40.166531545194744,Lithuania (+40%),% of DE-2006,% of DE,2006
Poland,2006,37.586685159500696,38071124,2010,45.68906992532247,2006-2010,37.586685159500696,64.80092325447202,27.21423809497133,Poland (+27%),% of DE-2006,% of DE,2006
Poland,2010,45.68906992532247,38095304,2014,49.80569948186529,2010-2014,37.586685159500696,64.80092325447202,27.21423809497133,Poland (+27%),% of DE-2006,% of DE,2006
Poland,2014,49.80569948186529,38265064,2018,51.82889026658401,2014-2018,37.586685159500696,64.80092325447202,27.21423809497133,Poland (+27%),% of DE-2006,% of DE,2006
Poland,2018,51.82889026658401,38241017,2022,64.80092325447202,2018-2022,37.586685159500696,64.80092325447202,27.21423809497133,Poland (+27%),% of DE-2006,% of DE,2006
Romania,2006,19.27877947295423,21035673,2010,26.544467073998643,2006-2010,19.27877947295423,57.2994806693595,38.02070119640527,Romania (+38%),% of DE-2006,% of DE,2006
Romania,2010,26.544467073998643,20432524,2014,24.740932642487046,2010-2014,19.27877947295423,57.2994806693595,38.02070119640527,Romania (+38%),% of DE-2006,% of DE,2006
Romania,2014,24.740932642487046,19968125,2018,42.83942963422195,2014-2018,19.27877947295423,57.2994806693595,38.02070119640527,Romania (+38%),% of DE-2006,% of DE,2006
Romania,2018,42.83942963422195,19597823,2022,57.2994806693595,2018-2022,19.27877947295423,57.2994806693595,38.02070119640527,Romania (+38%),% of DE-2006,% of DE,2006
Slovakia,2006,25.65880721220527,5376793,2010,39.850644942294636,2006-2010,25.65880721220527,56.203115983843055,30.544308771637784,Slovakia (+31%),% of DE-2006,% of DE,2006
Slovakia,2010,39.850644942294636,5391807,2014,42.03367875647668,2010-2014,25.65880721220527,56.203115983843055,30.544308771637784,Slovakia (+31%),% of DE-2006,% of DE,2006
Slovakia,2014,42.03367875647668,5415184,2018,43.89336639801612,2014-2018,25.65880721220527,56.203115983843055,30.544308771637784,Slovakia (+31%),% of DE-2006,% of DE,2006
Slovakia,2018,43.89336639801612,5443188,2022,56.203115983843055,2018-2022,25.65880721220527,56.203115983843055,30.544308771637784,Slovakia (+31%),% of DE-2006,% of DE,2006
