country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
Estonia,CEE,1990,2024,45.68896516180332,66.12486881980247,1371986,1570254,68.03202679071505,41.08187612053746,1,20.435903657999155,0.3696881001541943,26.950150670177592,0.5044115225722257,black,+20%,0.37,+20%,55.9069169908029,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",45.68896516180332,66.12486881980247,linear,% of DE
Bulgaria,CEE,1990,2024,35.29344014109946,54.25004928132255,6444366,8822320,68.03202679071505,41.08187612053746,1,18.956609140223094,0.42990678585812925,26.950150670177592,0.5044115225722257,black,+19%,0.43,+19%,44.77174471121101,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",35.29344014109946,54.25004928132255,linear,% of DE
Uruguay,Latin America,1990,2024,33.183087764426844,50.992959975919746,3386588,3104365,33.90291778044338,31.914756780391638,1,17.809872211492902,0.4296472420622648,1.9881610000517433,0.06043258307882192,black,+18%,0.43,+18%,42.088023870173295,32 → 34,3.46 → 3.52,2,+2% (32 → 34),"Latin America
+2% (32 → 34)",33.183087764426844,50.992959975919746,linear,% of DE
Kazakhstan,ex-USSR/Balkans,1990,2024,39.73634237139838,57.14715593236664,20592571,17154015,53.96432929950852,59.691925187849556,1,17.410813560968258,0.363363430120049,-5.727595888341035,-0.10087349500050401,black,+17%,0.36,+17%,48.441749151882505,60 → 54,4.09 → 3.99,-6,-6% (60 → 54),"ex-USSR/Balkans
-6% (60 → 54)",39.73634237139838,57.14715593236664,linear,% of DE
Slovenia,CEE,1990,2024,59.828415621894564,77.1861326506189,2126324,1997968,68.03202679071505,41.08187612053746,1,17.357717028724338,0.2547390862984326,26.950150670177592,0.5044115225722257,black,+17%,0.25,+17%,68.50727413625674,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",59.828415621894564,77.1861326506189,linear,% of DE
Costa Rica,Latin America,1990,2024,25.849690453151403,42.93096249550708,5129910,3121652,33.90291778044338,31.914756780391638,1,17.08127204235568,0.5072946759497271,1.9881610000517433,0.06043258307882192,black,+17%,0.51,+17%,34.39032647432924,32 → 34,3.46 → 3.52,2,+2% (32 → 34),"Latin America
+2% (32 → 34)",25.849690453151403,42.93096249550708,linear,% of DE
Belarus,ex-USSR/Balkans,1990,2024,29.149414415737823,46.21617606175536,9133712,10186209,53.96432929950852,59.691925187849556,1,17.06676164601754,0.4608950440721045,-5.727595888341035,-0.10087349500050401,black,+17%,0.46,+17%,37.68279523874659,60 → 54,4.09 → 3.99,-6,-6% (60 → 54),"ex-USSR/Balkans
-6% (60 → 54)",29.149414415737823,46.21617606175536,linear,% of DE
Israel,Asia,1990,2024,59.79032791386606,75.34457450740442,9974400,4544949,39.03321309255282,7.34606454714355,1,15.554246593538359,0.23122801129257975,31.687148545409272,1.6702481674017102,black,+16%,0.23,+16%,67.56745121063524,7 → 39,1.99 → 3.66,32,+32% (7 → 39),"Asia
+32% (7 → 39)",59.79032791386606,75.34457450740442,linear,% of DE
Hungary,CEE,1990,2024,50.26015274694435,64.7816101640311,9562314,10381231,68.03202679071505,41.08187612053746,1,14.521457417086744,0.2538091980699948,26.950150670177592,0.5044115225722257,black,+15%,0.25,+15%,57.520881455487725,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",50.26015274694435,64.7816101640311,linear,% of DE
Thailand,Asia,1990,2024,20.53629817324323,34.596925909060225,71668011,54738282,39.03321309255282,7.34606454714355,1,14.060627735816993,0.5215708685556755,31.687148545409272,1.6702481674017102,black,+14%,0.52,+14%,27.56661204115173,7 → 39,1.99 → 3.66,32,+32% (7 → 39),"Asia
+32% (7 → 39)",20.53629817324323,34.596925909060225,linear,% of DE
Croatia,CEE,1990,2024,55.22243662027176,67.85596865333798,3866300,4835027,68.03202679071505,41.08187612053746,1,12.633532033066224,0.20601801956101698,26.950150670177592,0.5044115225722257,black,+13%,0.21,+13%,61.53920263680487,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",55.22243662027176,67.85596865333798,linear,% of DE
Czechia,CEE,1990,2024,65.88579677380272,76.33608982395403,10882164,10301937,68.03202679071505,41.08187612053746,1,10.450293050151302,0.14722293413870155,26.950150670177592,0.5044115225722257,black,+10%,0.15,+10%,71.11094329887837,41 → 68,3.72 → 4.22,27,+27% (41 → 68),"CEE
+27% (41 → 68)",65.88579677380272,76.33608982395403,linear,% of DE
Azerbaijan,ex-USSR/Balkans,1990,2024,25.431130784542816,35.12999760756625,10202850,7231035,53.96432929950852,59.691925187849556,1,9.698866823023437,0.3230813531730812,-5.727595888341035,-0.10087349500050401,black,+10%,0.32,+10%,30.280564196054534,60 → 54,4.09 → 3.99,-6,-6% (60 → 54),"ex-USSR/Balkans
-6% (60 → 54)",25.431130784542816,35.12999760756625,linear,% of DE
Georgia,ex-USSR/Balkans,1990,2024,30.483876574510482,39.79104538308044,3673850,5448811,53.96432929950852,59.691925187849556,1,9.307168808569955,0.266443989667077,-5.727595888341035,-0.10087349500050401,black,+9%,0.27,+9%,35.13746097879546,60 → 54,4.09 → 3.99,-6,-6% (60 → 54),"ex-USSR/Balkans
-6% (60 → 54)",30.483876574510482,39.79104538308044,linear,% of DE
