megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct
Baranya,Majs,717,0,0,717,525,0,525,0,525,0,7,518,2,252,29,5,216,73.2218
Baranya,Markóc,40,0,0,40,32,0,32,0,32,0,1,31,2,10,1,0,17,80.0
Baranya,Martonfa,193,0,0,193,167,0,167,0,167,0,2,165,1,84,18,2,59,86.5285
Baranya,Maráza,130,0,0,130,87,0,87,0,87,0,2,85,1,22,3,1,36,66.9231
Baranya,Marócsa,64,0,0,64,43,0,43,0,43,0,1,42,0,8,3,1,30,67.1875
Baranya,Matty,243,0,0,243,179,0,179,0,179,0,4,175,0,65,11,2,94,73.6626
Baranya,Mecseknádasd,1205,0,0,1205,955,0,955,0,955,0,19,936,3,394,56,7,304,79.2531
Baranya,Mecsekpölöske,321,0,0,321,258,0,258,0,257,0,1,256,1,126,9,5,115,80.3738
Baranya,Mekényes,204,0,0,204,158,0,158,0,158,0,6,152,1,82,9,2,56,77.451
Baranya,Merenye,167,0,0,167,138,0,138,0,136,0,1,135,0,43,5,1,84,82.6347
Baranya,Meződ,98,0,0,98,71,0,71,0,71,0,0,71,0,45,4,2,20,72.449
Baranya,Mindszentgodisa,576,0,0,576,392,0,392,0,391,0,7,384,2,142,12,4,167,68.0556
Baranya,Mohács,13775,1820,672,16267,10476,2372,12848,3,12855,0,145,12710,79,6604,834,77,4757,78.982
Baranya,Molvány,139,0,0,139,89,0,89,0,89,0,1,88,0,39,6,0,42,64.0288
Baranya,Monyoród,144,0,0,144,111,0,111,0,111,0,1,110,2,51,10,1,42,77.0833
Baranya,Mozsgó,637,0,0,637,447,0,447,0,447,0,5,442,3,198,25,3,209,70.1727
Baranya,Mágocs,1751,0,0,1751,1273,0,1273,0,1275,0,22,1253,3,612,65,17,528,72.7013
Baranya,Mánfa,643,0,0,643,512,0,512,0,512,0,1,511,3,298,24,8,165,79.6267
Baranya,Márfa,136,0,0,136,109,0,109,0,109,0,0,109,0,58,5,1,45,80.1471
Baranya,Máriakéménd,413,0,0,413,283,0,283,0,283,0,2,281,4,106,21,2,118,68.523
Baranya,Márok,328,0,0,328,267,0,267,0,267,0,2,265,0,90,9,0,127,81.4024
Baranya,Máza,888,0,0,888,681,0,681,1,681,0,23,658,1,346,21,4,192,76.6892
Baranya,Nagybudmér,131,0,0,131,102,0,102,0,102,0,0,102,0,29,3,0,60,77.8626
Baranya,Nagycsány,103,0,0,103,78,0,78,0,78,0,0,78,0,54,2,0,21,75.7282
Baranya,Nagydobsza,441,0,0,441,297,0,297,0,297,0,2,295,0,143,16,0,134,67.3469
Baranya,Nagyhajmás,205,0,0,205,146,0,146,0,146,0,8,138,0,60,13,0,53,71.2195
Baranya,Nagyharsány,1117,0,0,1117,775,0,775,0,775,0,12,763,5,369,23,6,342,69.3823
