megye,telepules,AL,B,C,EL,FL,IL,JL,OL,KL,L,M,NL,reszvetel_pct,part,szavazat,szavazat_pct
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,80.1556,DK,1,0.165
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,80.1556,FIDESZ_KDNP,193,31.8482
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,80.1556,MKKP,2,0.33
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,80.1556,Mi_Hazank,40,6.6007
Baranya,Himesháza,771,0,0,771,618,0,618,0,618,0,12,606,80.1556,TISZA,260,42.9043
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,57.8947,DK,0,0.0
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,57.8947,FIDESZ_KDNP,60,63.1579
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,57.8947,MKKP,0,0.0
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,57.8947,Mi_Hazank,2,2.1053
Baranya,Hirics,171,0,0,171,99,0,99,0,98,0,3,95,57.8947,TISZA,24,25.2632
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,77.0972,DK,3,0.5217
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,77.0972,FIDESZ_KDNP,176,30.6087
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,77.0972,MKKP,9,1.5652
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,77.0972,Mi_Hazank,32,5.5652
Baranya,Hobol,751,0,0,751,579,0,579,0,578,0,3,575,77.0972,TISZA,349,60.6957
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,75.2294,DK,3,0.9259
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,75.2294,FIDESZ_KDNP,169,52.1605
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,75.2294,MKKP,2,0.6173
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,75.2294,Mi_Hazank,36,11.1111
Baranya,Homorúd,436,0,0,436,328,0,328,0,328,0,4,324,75.2294,TISZA,111,34.2593
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,75.0,DK,0,0.0
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,75.0,FIDESZ_KDNP,22,73.3333
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,75.0,MKKP,0,0.0
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,75.0,Mi_Hazank,1,3.3333
Baranya,Horváthertelend,40,0,0,40,30,0,30,0,30,0,0,30,75.0,TISZA,7,23.3333
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,81.3024,DK,20,0.9434
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,81.3024,FIDESZ_KDNP,673,31.7453
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,81.3024,MKKP,20,0.9434
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,81.3024,Mi_Hazank,161,7.5943
Baranya,Hosszúhetény,2626,0,0,2626,2135,0,2135,0,2134,0,14,2120,81.3024,TISZA,1211,57.1226
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,53.8462,DK,0,0.0
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,53.8462,FIDESZ_KDNP,12,57.1429
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,53.8462,MKKP,0,0.0
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,53.8462,Mi_Hazank,1,4.7619
Baranya,Husztót,39,0,0,39,21,0,21,0,21,0,0,21,53.8462,TISZA,8,38.0952
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,85.4772,DK,0,0.0
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,85.4772,FIDESZ_KDNP,58,28.4314
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,85.4772,MKKP,1,0.4902
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,85.4772,Mi_Hazank,12,5.8824
Baranya,Hásságy,241,0,0,241,206,0,206,0,206,0,2,204,85.4772,TISZA,73,35.7843
