country,region,start_yr,end_yr,start,end,scale_for_log,scaling,change,label_color,label_txt_linear,label_txt_log,label_final,sel_var,scale_type
Egypt,Africa,1990,2024,19.356838629744985,29.266032856225028,100,1,9.909194226480043,black,+10%,9.91,+10%,% of W_EUR3,linear
Colombia,Latin America,1990,2024,24.173163007780317,32.237417864923074,100,1,8.064254857142757,black,+8%,8.06,+8%,% of W_EUR3,linear
Spain,Southern Europe,1990,2024,76.81507457282018,84.27636424417356,100,1,7.461289671353384,black,+7%,7.46,+7%,% of W_EUR3,linear
Portugal,Southern Europe,1990,2024,65.73603037499545,72.97077694099282,100,1,7.234746565997369,black,+7%,7.23,+7%,% of W_EUR3,linear
Iran,Asia,1990,2024,21.87105814333164,28.26579753458283,100,1,6.394739391251189,black,+6%,6.39,+6%,% of W_EUR3,linear
Tunisia,Africa,1990,2024,16.300879619357815,22.149768433036794,100,1,5.848888813678979,black,+6%,5.85,+6%,% of W_EUR3,linear
Argentina,Latin America,1990,2024,41.11687593179149,46.25073443176009,100,1,5.133858499968596,black,+5%,5.13,+5%,% of W_EUR3,linear
Morocco,Africa,1990,2024,10.682569704687255,15.794793706616572,100,1,5.112224001929317,black,+5%,5.11,+5%,% of W_EUR3,linear
Paraguay,Latin America,1990,2024,24.0853304491783,28.391669739088943,100,1,4.3063392899106425,black,+4%,4.31,+4%,% of W_EUR3,linear
Brazil,Latin America,1990,2024,30.542286521037216,34.2309310765498,100,1,3.6886445555125853,black,+4%,3.69,+4%,% of W_EUR3,linear
Ecuador,Latin America,1990,2024,22.011838002153997,24.278739458110657,100,1,2.26690145595666,black,+2%,2.27,+2%,% of W_EUR3,linear
Russia,ex-USSR/Balkans,1990,2024,71.66647042277849,72.65867526547473,100,1,0.9922048426962391,black,+1%,0.99,+1%,% of W_EUR3,linear
Greece,Southern Europe,1990,2024,65.07298016770957,65.77329456943659,100,1,0.7003144017270131,black,+1%,0.7,+1%,% of W_EUR3,linear
Algeria,Africa,1990,2024,28.35497704072305,26.903538720514625,100,1,-1.4514383202084247,red,-1%,-1.45,-1%,% of W_EUR3,linear
South Africa,Africa,1990,2024,26.169074020080373,23.692047300778235,100,1,-2.4770267193021382,red,-2%,-2.48,-2%,% of W_EUR3,linear
Mexico,Latin America,1990,2024,41.509272741827324,38.38675529179995,100,1,-3.122517450027374,red,-3%,-3.12,-3%,% of W_EUR3,linear
Jamaica,Latin America,1990,2024,21.135091923047572,17.875142547022513,100,1,-3.259949376025059,red,-3%,-3.26,-3%,% of W_EUR3,linear
Moldova,ex-USSR/Balkans,1990,2024,38.44689817882081,28.687228338555073,100,1,-9.759669840265737,red,-10%,-9.76,-10%,% of W_EUR3,linear
Ukraine,ex-USSR/Balkans,1990,2024,55.15956256667982,28.43271831202283,100,1,-26.72684425465699,red,-27%,-26.73,-27%,% of W_EUR3,linear
South Korea,Asia,1990,2023,38.14163457185109,103.87406505330853,100,1,65.73243048145744,black,+66%,65.73,+66%,% of S_EUR4,linear
Poland,CEE,1990,2024,35.33467989514783,91.78842338284596,100,1,56.453743487698134,black,+56%,56.45,+56%,% of S_EUR4,linear
China,Asia,1990,2024,4.59388723669707,48.51752876109218,100,1,43.92364152439511,black,+44%,43.92,+44%,% of S_EUR4,linear
Panama,Latin America,1990,2024,31.240711592645305,74.11423601825581,100,1,42.873524425610505,black,+43%,42.87,+43%,% of S_EUR4,linear
Lithuania,CEE,1990,2024,56.73359834780024,95.97249932310775,100,1,39.238900975307516,black,+39%,39.24,+39%,% of S_EUR4,linear
Romania,CEE,1990,2024,44.96535951778449,82.62873663577872,100,1,37.66337711799423,black,+38%,37.66,+38%,% of S_EUR4,linear
Malaysia,Asia,1990,2024,33.10855517132692,69.32453794930231,100,1,36.21598277797539,black,+36%,36.22,+36%,% of S_EUR4,linear
Slovakia,CEE,1990,2024,48.28610967008463,82.09122374617559,100,1,33.80511407609096,black,+34%,33.81,+34%,% of S_EUR4,linear
Chile,Latin America,1990,2024,30.18443105980099,61.411456669763524,100,1,31.227025609962535,black,+31%,31.23,+31%,% of S_EUR4,linear
Estonia,CEE,1990,2024,53.35431123679379,84.53188068074918,100,1,31.17756944395539,black,+31%,31.18,+31%,% of S_EUR4,linear
Latvia,CEE,1990,2024,48.252475513960256,79.22128776498151,100,1,30.968812251021255,black,+31%,30.97,+31%,% of S_EUR4,linear
Dominican Republic,Latin America,1990,2024,20.194486744210973,49.29852653052939,100,1,29.104039786318413,black,+29%,29.1,+29%,% of S_EUR4,linear
Slovenia,CEE,1990,2024,69.86597084416933,98.67224044271589,100,1,28.806269598546564,black,+29%,28.81,+29%,% of S_EUR4,linear
Bulgaria,CEE,1990,2024,41.214704321638635,69.35149777416557,100,1,28.13679345252693,black,+28%,28.14,+28%,% of S_EUR4,linear
Kazakhstan,ex-USSR/Balkans,1990,2024,46.40300279919289,73.0550646487228,100,1,26.652061849529915,black,+27%,26.65,+27%,% of S_EUR4,linear
Israel,Asia,1990,2024,69.82149307100785,96.31805243437233,100,1,26.496559363364483,black,+26%,26.5,+26%,% of S_EUR4,linear
Uruguay,Latin America,1990,2024,38.750293120256664,65.18774078765036,100,1,26.43744766739369,black,+26%,26.44,+26%,% of S_EUR4,linear
Belarus,ex-USSR/Balkans,1990,2024,34.03988082461036,59.08125566220929,100,1,25.04137483759893,black,+25%,25.04,+25%,% of S_EUR4,linear
Costa Rica,Latin America,1990,2024,30.186554344751134,54.88154553575662,100,1,24.69499119100549,black,+25%,24.69,+25%,% of S_EUR4,linear
Hungary,CEE,1990,2024,58.6924178075086,82.81470252312621,100,1,24.122284715617617,black,+24%,24.12,+24%,% of S_EUR4,linear
Croatia,CEE,1990,2024,64.4872358184925,86.74486238017097,100,1,22.257626561678478,black,+22%,22.26,+22%,% of S_EUR4,linear
Czechia,CEE,1990,2024,76.93961320210538,97.58557335241167,100,1,20.645960150306294,black,+21%,20.65,+21%,% of S_EUR4,linear
Thailand,Asia,1990,2024,23.981721636865643,44.22758434251266,100,1,20.245862705647014,black,+20%,20.25,+20%,% of S_EUR4,linear
Georgia,ex-USSR/Balkans,1990,2024,35.59822886555929,50.86757766810915,100,1,15.269348802549857,black,+15%,15.27,+15%,% of S_EUR4,linear
Azerbaijan,ex-USSR/Balkans,1990,2024,29.697771927573918,44.90904585641287,100,1,15.21127392883895,black,+15%,15.21,+15%,% of S_EUR4,linear
North Macedonia,ex-USSR/Balkans,1990,2024,35.56356989973265,49.77854928913582,100,1,14.214979389403169,black,+14%,14.21,+14%,% of S_EUR4,linear
Egypt,Africa,1990,2024,22.065453185399697,34.178386295812906,100,1,12.11293311041321,black,+12%,12.11,+12%,% of S_EUR4,linear
Colombia,Latin America,1990,2024,27.555728850865535,37.64852333692771,100,1,10.092794486062175,black,+10%,10.09,+10%,% of S_EUR4,linear
Iran,Asia,1990,2024,24.93148901056872,33.01025977255808,100,1,8.078770761989361,black,+8%,8.08,+8%,% of S_EUR4,linear
Tunisia,Africa,1990,2024,18.58187191626728,25.867644773934824,100,1,7.285772857667546,black,+7%,7.29,+7%,% of S_EUR4,linear
Argentina,Latin America,1990,2024,46.870386138812655,54.01399894682045,100,1,7.143612808007795,black,+7%,7.14,+7%,% of S_EUR4,linear
Morocco,Africa,1990,2024,12.177388375616742,18.445976720503445,100,1,6.2685883448867035,black,+6%,6.27,+6%,% of S_EUR4,linear
Paraguay,Latin America,1990,2024,27.455605827315164,33.15725984088475,100,1,5.701654013569584,black,+6%,5.7,+6%,% of S_EUR4,linear
Brazil,Latin America,1990,2024,34.81608780730376,39.976651135031105,100,1,5.1605633277273455,black,+5%,5.16,+5%,% of S_EUR4,linear
Ecuador,Latin America,1990,2024,25.091968283228375,28.353967210085912,100,1,3.2619989268575367,black,+3%,3.26,+3%,% of S_EUR4,linear
Russia,ex-USSR/Balkans,1990,2024,81.69480452487939,84.85455760831623,100,1,3.15975308343684,black,+3%,3.16,+3%,% of S_EUR4,linear
Algeria,Africa,1990,2024,32.32270674115758,31.419343497337827,100,1,-0.9033632438197543,red,-1%,-0.9,-1%,% of S_EUR4,linear
South Africa,Africa,1990,2024,29.830928941465803,27.668797775316893,100,1,-2.16213116614891,red,-2%,-2.16,-2%,% of S_EUR4,linear
Mexico,Latin America,1990,2024,47.31769128029587,44.830037519995166,100,1,-2.4876537603007023,red,-2%,-2.49,-2%,% of S_EUR4,linear
Jamaica,Latin America,1990,2024,24.092538576030346,20.87551565551208,100,1,-3.217022920518268,red,-3%,-3.22,-3%,% of S_EUR4,linear
Moldova,ex-USSR/Balkans,1990,2024,43.826796726247025,33.5024284544522,100,1,-10.324368271794825,red,-10%,-10.32,-10%,% of S_EUR4,linear
Ukraine,ex-USSR/Balkans,1990,2024,62.87807471163663,33.20519848666973,100,1,-29.6728762249669,red,-30%,-29.67,-30%,% of S_EUR4,linear
South Korea,Asia,1990,2023,33.98218809298647,80.78925695333858,100,1,46.80706886035211,black,+47%,46.81,+47%,% of G7,linear
Poland,CEE,1990,2024,31.48133927350209,71.62918786735422,100,1,40.14784859385213,black,+40%,40.15,+40%,% of G7,linear
China,Asia,1990,2024,4.092911641249394,37.86175918931314,100,1,33.768847548063746,black,+34%,33.77,+34%,% of G7,linear
Panama,Latin America,1990,2024,27.8338290798766,57.836732996867326,100,1,30.002903916990725,black,+30%,30,+30%,% of G7,linear
Malaysia,Asia,1990,2024,29.497979359001754,54.09898296080896,100,1,24.601003601807207,black,+25%,24.6,+25%,% of G7,linear
Romania,CEE,1990,2024,40.06176772323772,64.48121758274412,100,1,24.4194498595064,black,+24%,24.42,+24%,% of G7,linear
Lithuania,CEE,1990,2024,50.54664887565482,74.89432687433164,100,1,24.347677998676822,black,+24%,24.35,+24%,% of G7,linear
Slovakia,CEE,1990,2024,43.02038125807973,64.06175715046369,100,1,21.04137589238396,black,+21%,21.04,+21%,% of G7,linear
Chile,Latin America,1990,2024,26.892738742532586,47.923829660511004,100,1,21.031090917978418,black,+21%,21.03,+21%,% of G7,linear
Dominican Republic,Latin America,1990,2024,17.9922243681072,38.471228596121335,100,1,20.479004228014137,black,+20%,20.48,+20%,% of G7,linear
Latvia,CEE,1990,2024,42.990414995946566,61.82213720725145,100,1,18.831722211304886,black,+19%,18.83,+19%,% of G7,linear
Estonia,CEE,1990,2024,47.5358819928119,65.96637940720686,100,1,18.430497414394956,black,+18%,18.43,+18%,% of G7,linear
Bulgaria,CEE,1990,2024,36.720131430559555,54.120021674503235,100,1,17.39989024394368,black,+17%,17.4,+17%,% of G7,linear
Uruguay,Latin America,1990,2024,34.524470811294165,50.8707390261116,100,1,16.346268214817435,black,+16%,16.35,+16%,% of G7,linear
Costa Rica,Latin America,1990,2024,26.894630477623668,42.82806470304991,100,1,15.933434225426243,black,+16%,15.93,+16%,% of G7,linear
