country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of S_EUR4-2004,% of EU8-2004,var_name
Croatia,2021,142.23413701667977,127.13127247545789,39.50393,47.647238538270244,65.00071998565497,48.25023119868972,per_hr_work
Croatia,2022,147.8848071392561,132.1819368102648,41.07334,49.63712975942029,66.65137257710431,50.44997017103726,per_hr_work
Croatia,2023,149.64387035096365,133.75421720061104,41.5619,50.37734311056782,67.39288671652936,51.221910632436376,per_hr_work
Czechia,2004,100,NA,33.4945,52.421177764549824,72.14972132291574,52.995168991073655,per_hr_work
Czechia,2005,104.83979757870694,NA,35.115566,52.037388368338156,73.5526243618389,52.66077138640084,per_hr_work
Czechia,2006,106.6088760841332,NA,35.70811,52.57630151270511,72.91017431323263,53.19436490756899,per_hr_work
Czechia,2007,115.20545164131424,NA,38.58749,54.61678433841453,75.373066781630925,55.55956532393345,per_hr_work
Czechia,2008,112.6620788487662,NA,37.7356,52.65513132735845,72.23516996778865,53.4688485723923,per_hr_work
Czechia,2009,112.15453283374883,NA,37.5656,54.53215741824372,70.72430004657157,54.63385581731558,per_hr_work
Czechia,2010,114.6708175969189,100,38.408417,54.097322008813116,71.34333076958103,54.34437361808229,per_hr_work
Czechia,2011,121.5416799773097,105.9918142421751,40.709778,54.98668169653167,74.11875794540153,55.66887286185112,per_hr_work
Czechia,2012,122.55343414590455,106.87412605419276,41.04866,55.65155592865685,73.45655939622877,55.85262813874536,per_hr_work
Czechia,2013,120.84475063070056,105.38404902237966,40.476345,54.777438778688435,72.70493790873743,55.01935988870425,per_hr_work
Czechia,2014,125.38581856722743,109.34413933279258,41.997353,55.49988727526745,75.7414317806777,56.549526781263395,per_hr_work
Czechia,2015,128.2324351759244,111.82656395341677,42.950813,57.96352628789818,76.48660997192242,58.193492130136576,per_hr_work
Czechia,2016,129.20358864888266,112.67346946373762,43.276096,56.920444529850364,75.36085651345263,57.94112780612284,per_hr_work
Czechia,2017,135.4880054934392,118.1538671588574,45.38103,58.03554027073771,77.65606908473023,59.236000830982604,per_hr_work
Czechia,2018,137.10797295078297,119.56657833620167,45.92363,58.427255483388166,80.12094414876287,59.95542750633611,per_hr_work
Czechia,2019,148.6576960396483,129.63864665393527,49.792152,61.3818605888225,82.69681493936791,61.87472540931864,per_hr_work
Czechia,2020,153.3392049440953,133.7212101191257,51.3602,62.603485498865915,84.45029178032406,62.4773037880105,per_hr_work
Czechia,2021,153.4365642120348,133.80611338394914,51.39281,61.98688275374123,84.56297011679519,62.77134868481017,per_hr_work
Czechia,2022,152.65558823090356,133.12505433379354,51.131226,61.79208459113002,82.97271160441596,62.803970324998275,per_hr_work
Czechia,2023,151.30202272014807,131.94466202551385,50.677856,61.42682937546041,82.17446768421529,62.45663964052364,per_hr_work
Estonia,2004,100,NA,23.448483,36.69847573936092,50.50983038693299,37.1003095782686,per_hr_work
Estonia,2005,111.6448897781575,NA,26.179033,38.79443399341878,54.83427436155192,39.25917275347472,per_hr_work
Estonia,2006,113.90830698941164,NA,26.70977,39.32722624790294,54.53702216573074,39.78953946252655,per_hr_work
Estonia,2007,127.12896608279522,NA,29.809814,42.19285012853259,58.22760437048371,42.921172334020845,per_hr_work
