country,year,rel_val-2004,rel_val-2010,value-2004,% of DE-2004,% of AT-2004,% of W_EUR3-2004,% of EU8-2004,% of S_EUR4-2004,var_name
Estonia,2023,235,180.76923076923077,18.8,62.666666666666664,65.50522648083624,68.26013268611922,66.06332402721075,79.84203545733574,actual_indiv_consump
Estonia,2024,243.75,187.5,19.5,62.903225806451616,66.3265306122449,68.54867871414885,66.16588994628503,79.484470197811,actual_indiv_consump
Hungary,2004,100,NA,9.2,51.39664804469274,51.9774011299435,54.072299992902444,53.02872237096043,60.44065211393567,actual_indiv_consump
Hungary,2005,105.43478260869566,NA,9.7,52.71739130434783,52.1505376344086,55.00841088860123,53.76798000247016,61.056132700089826,actual_indiv_consump
Hungary,2006,108.69565217391305,NA,10,52.63157894736842,51.81347150259067,54.67759469666601,53.412946416682594,59.895302153907856,actual_indiv_consump
Hungary,2007,110.8695652173913,NA,10.2,51.776649746192895,51.776649746192895,53.72414124423233,52.35615093455948,59.088451037772764,actual_indiv_consump
Hungary,2008,114.1304347826087,NA,10.5,51.98019801980198,51.98019801980198,53.89709409839799,52.521366878420075,59.09003718049441,actual_indiv_consump
Hungary,2009,111.95652173913044,NA,10.3,50.73891625615764,50.99009900990099,53.42503532962356,51.886499505024396,60.050458389924614,actual_indiv_consump
Hungary,2010,116.30434782608695,100,10.7,50.95238095238095,51.44230769230769,53.56584653251762,52.44802228254947,61.394148039271684,actual_indiv_consump
Hungary,2011,121.73913043478261,104.67289719626169,11.2,51.141552511415526,52.582159624413144,54.679921924997934,53.2820782669242,64.68861611302665,actual_indiv_consump
Hungary,2012,122.82608695652173,105.60747663551402,11.3,50.672645739910315,51.8348623853211,54.98208825659611,53.07319389699406,66.6430754126743,actual_indiv_consump
Hungary,2013,123.91304347826087,106.54205607476635,11.4,50.666666666666664,51.351351351351354,55.07333943021118,52.76491717147894,67.8662902356194,actual_indiv_consump
Hungary,2014,125,107.4766355140187,11.5,50,51.8018018018018,55.09842103760985,52.53897263406057,67.89537752214451,actual_indiv_consump
Hungary,2015,129.34782608695653,111.21495327102804,11.9,51.072961373390555,52.888888888888886,56.10805642501898,53.55210290060399,68.30117358275855,actual_indiv_consump
Hungary,2016,131.52173913043478,113.08411214953271,12.1,50.62761506276151,53.30396475770925,55.77524230378112,53.63536583814611,67.83634286673544,actual_indiv_consump
Hungary,2017,136.95652173913044,117.75700934579439,12.6,51.21951219512195,54.54545454545455,56.56355186363523,54.42685969588898,68.16186712891869,actual_indiv_consump
Hungary,2018,143.47826086956522,123.3644859813084,13.2,51.968503937007874,55.932203389830505,57.723188286407094,55.518043820440816,69.7110403637778,actual_indiv_consump
Hungary,2019,151.08695652173913,129.90654205607476,13.9,53.66795366795367,57.916666666666664,59.31566072080711,57.25318811246661,71.6658997492101,actual_indiv_consump
