country,region,start_yr,end_yr_gni,start_gni,end_gni,change_gni,end_yr_gdp,start_gdp,end_gdp,change_gdp,color_cntr,pop,text_str_lin,text_str_log,text_str,type_scale,sel_var
Ukraine,ex-USSR/Balkans,1990,2023,23600.672,16933.145,-6.667526999999998,2024,22815.798828125,16319.8447265625,-6.4959541015625,8,37860221,"Ukraine, ΔGNI/cap: -7k, ΔGDP/cap: -6k","Ukraine, logratio(GNI/cap): -6.7, logratio(GDP/cap): -6.5","Ukraine, ΔGNI/cap: -7k, ΔGDP/cap: -6k",lin,value
South Korea,Asia,1990,2023,37.48147742426126,77.63302246321001,40.151545038948754,2023,32.66187441598503,80.42269944378843,47.7608250278034,5,51748695,"South Korea, ΔGNI/cap: 40%, ΔGDP/cap: 48%","South Korea, logratio(GNI/cap): 40.2, logratio(GDP/cap): 47.8","South Korea, ΔGNI/cap: 40%, ΔGDP/cap: 48%",lin,% of DE
Poland,CEE,1990,2023,29.860793653134355,65.9102462338234,36.04945258068905,2024,30.25819134967237,71.80128262246758,41.54309127279521,7,36554707,"Poland, ΔGNI/cap: 36%, ΔGDP/cap: 42%","Poland, logratio(GNI/cap): 36, logratio(GDP/cap): 41.5","Poland, ΔGNI/cap: 36%, ΔGDP/cap: 42%",lin,% of DE
China,Asia,1990,2023,3.855671490623491,34.39206017783056,30.53638868720707,2024,3.933889296840227,37.952725042338194,34.01883574549797,1,1408975000,"China, ΔGNI/cap: 31%, ΔGDP/cap: 34%","China, logratio(GNI/cap): 30.5, logratio(GDP/cap): 34","China, ΔGNI/cap: 31%, ΔGDP/cap: 34%",lin,% of DE
Panama,Latin America,1990,2023,24.241645851956555,53.68124255043342,29.439596698476862,2024,26.75239826921417,57.975690294834806,31.223292025620637,10,4515577,"Panama, ΔGNI/cap: 29%, ΔGDP/cap: 31%","Panama, logratio(GNI/cap): 29.4, logratio(GDP/cap): 31.2","Panama, ΔGNI/cap: 29%, ΔGDP/cap: 31%",lin,% of DE
Estonia,CEE,1990,2023,36.94293059414791,63.823377006337374,26.880446412189464,2024,45.68896516180332,66.12486881980247,20.435903657999155,3,1371986,"Estonia, ΔGNI/cap: 27%, ΔGDP/cap: 20%","Estonia, logratio(GNI/cap): 26.9, logratio(GDP/cap): 20.4","Estonia, ΔGNI/cap: 27%, ΔGDP/cap: 20%",lin,% of DE
Malaysia,Asia,1990,2023,26.971419302240825,50.82194224637221,23.850522944131384,2024,28.351891135223298,54.228960020464626,25.87706888524133,4,35557673,"Malaysia, ΔGNI/cap: 24%, ΔGDP/cap: 26%","Malaysia, logratio(GNI/cap): 23.9, logratio(GDP/cap): 25.9","Malaysia, ΔGNI/cap: 24%, ΔGDP/cap: 26%",lin,% of DE
Romania,CEE,1990,2023,38.43013899802421,61.47115188879723,23.04101289077302,2024,38.50524347279481,64.6361387772977,26.130895304502893,8,19069340,"Romania, ΔGNI/cap: 23%, ΔGDP/cap: 26%","Romania, logratio(GNI/cap): 23, logratio(GDP/cap): 26.1","Romania, ΔGNI/cap: 23%, ΔGDP/cap: 26%",lin,% of DE
Israel,Asia,1990,2023,53.47966946451013,75.01591762213121,21.53624815762108,2024,59.79032791386606,75.34457450740442,15.554246593538359,3,9974400,"Israel, ΔGNI/cap: 22%, ΔGDP/cap: 16%","Israel, logratio(GNI/cap): 21.5, logratio(GDP/cap): 15.6","Israel, ΔGNI/cap: 22%, ΔGDP/cap: 16%",lin,% of DE
Lithuania,CEE,1990,2023,44.430278503981185,65.44005599843118,21.00977749444999,2024,48.58275438909318,75.07426638260425,26.491511993511068,6,2888055,"Lithuania, ΔGNI/cap: 21%, ΔGDP/cap: 26%","Lithuania, logratio(GNI/cap): 21, logratio(GDP/cap): 26.5","Lithuania, ΔGNI/cap: 21%, ΔGDP/cap: 26%",lin,% of DE
Chile,Latin America,1990,2023,25.086707867738056,43.78728920479146,18.700581337053407,2024,25.84787221785107,48.038970428891524,22.191098211040455,3,19764771,"Chile, ΔGNI/cap: 19%, ΔGDP/cap: 22%","Chile, logratio(GNI/cap): 18.7, logratio(GDP/cap): 22.2","Chile, ΔGNI/cap: 19%, ΔGDP/cap: 22%",lin,% of DE
Dominican Republic,Latin America,1990,2023,16.29726917089222,34.38314103257537,18.085871861683145,2024,17.293170503538853,38.56365874731082,21.270488243771965,6,11427557,"Dominican Republic, ΔGNI/cap: 18%, ΔGDP/cap: 21%","Dominican Republic, logratio(GNI/cap): 18.1, logratio(GDP/cap): 21.3","Dominican Republic, ΔGNI/cap: 18%, ΔGDP/cap: 21%",lin,% of DE
Latvia,CEE,1990,2023,46.31100137890871,59.322267046577814,13.0112656676691,2024,41.32010369216002,61.97066975215436,20.65056605999434,5,1862441,"Latvia, ΔGNI/cap: 13%, ΔGDP/cap: 21%","Latvia, logratio(GNI/cap): 13, logratio(GDP/cap): 20.7","Latvia, ΔGNI/cap: 13%, ΔGDP/cap: 21%",lin,% of DE
Uruguay,Latin America,1990,2023,31.9205195239289,44.72815052569642,12.807631001767522,2024,33.183087764426844,50.992959975919746,17.809872211492902,12,3386588,"Uruguay, ΔGNI/cap: 13%, ΔGDP/cap: 18%","Uruguay, logratio(GNI/cap): 12.8, logratio(GDP/cap): 17.8","Uruguay, ΔGNI/cap: 13%, ΔGDP/cap: 18%",lin,% of DE
Belarus,ex-USSR/Balkans,1990,2023,28.987100146317406,41.72291377125551,12.735813624938107,2024,29.149414415737823,46.21617606175536,17.06676164601754,2,9133712,"Belarus, ΔGNI/cap: 13%, ΔGDP/cap: 17%","Belarus, logratio(GNI/cap): 12.7, logratio(GDP/cap): 17.1","Belarus, ΔGNI/cap: 13%, ΔGDP/cap: 17%",lin,% of DE
Thailand,Asia,1990,2023,19.846049558789,32.11376576632217,12.267716207533166,2024,20.53629817324323,34.596925909060225,14.060627735816993,6,71668011,"Thailand, ΔGNI/cap: 12%, ΔGDP/cap: 14%","Thailand, logratio(GNI/cap): 12.3, logratio(GDP/cap): 14.1","Thailand, ΔGNI/cap: 12%, ΔGDP/cap: 14%",lin,% of DE
Slovakia,CEE,1990,2023,45.687582963326555,57.44127816956221,11.753695206235655,2024,41.34890567182747,64.21567055835206,22.866764886524592,9,5422069,"Slovakia, ΔGNI/cap: 12%, ΔGDP/cap: 23%","Slovakia, logratio(GNI/cap): 11.8, logratio(GDP/cap): 22.9","Slovakia, ΔGNI/cap: 12%, ΔGDP/cap: 23%",lin,% of DE
Slovenia,CEE,1990,2023,60.761927232662934,72.37857492354445,11.616647690881514,2024,59.828415621894564,77.1861326506189,17.357717028724338,10,2126324,"Slovenia, ΔGNI/cap: 12%, ΔGDP/cap: 17%","Slovenia, logratio(GNI/cap): 11.6, logratio(GDP/cap): 17.4","Slovenia, ΔGNI/cap: 12%, ΔGDP/cap: 17%",lin,% of DE
Czechia,CEE,1990,2023,62.18400086699674,71.64200933339453,9.458008466397786,2024,65.88579677380272,76.33608982395403,10.450293050151302,2,10882164,"Czechia, ΔGNI/cap: 9%, ΔGDP/cap: 10%","Czechia, logratio(GNI/cap): 9.5, logratio(GDP/cap): 10.5","Czechia, ΔGNI/cap: 9%, ΔGDP/cap: 10%",lin,% of DE
Bulgaria,CEE,1990,2023,41.49924196301734,50.23155509286395,8.73231312984661,2024,35.29344014109946,54.25004928132255,18.956609140223094,1,6444366,"Bulgaria, ΔGNI/cap: 9%, ΔGDP/cap: 19%","Bulgaria, logratio(GNI/cap): 8.7, logratio(GDP/cap): 19","Bulgaria, ΔGNI/cap: 9%, ΔGDP/cap: 19%",lin,% of DE
Costa Rica,Latin America,1990,2023,27.96270743611224,36.55899251158681,8.596285075474569,2024,25.849690453151403,42.93096249550708,17.08127204235568,5,5129910,"Costa Rica, ΔGNI/cap: 9%, ΔGDP/cap: 17%","Costa Rica, logratio(GNI/cap): 8.6, logratio(GDP/cap): 17.1","Costa Rica, ΔGNI/cap: 9%, ΔGDP/cap: 17%",lin,% of DE
Azerbaijan,ex-USSR/Balkans,1990,2023,24.184858032792793,32.26684939803888,8.081991365246086,2024,25.431130784542816,35.12999760756625,9.698866823023437,1,10202850,"Azerbaijan, ΔGNI/cap: 8%, ΔGDP/cap: 10%","Azerbaijan, logratio(GNI/cap): 8.1, logratio(GDP/cap): 9.7","Azerbaijan, ΔGNI/cap: 8%, ΔGDP/cap: 10%",lin,% of DE
Hungary,CEE,1990,2023,50.16892158384202,58.13302165919114,7.964100075349116,2024,50.26015274694435,64.7816101640311,14.521457417086744,4,9562314,"Hungary, ΔGNI/cap: 8%, ΔGDP/cap: 15%","Hungary, logratio(GNI/cap): 8, logratio(GDP/cap): 14.5","Hungary, ΔGNI/cap: 8%, ΔGDP/cap: 15%",lin,% of DE
Egypt,Africa,1990,2023,18.641548104158517,25.31977977126928,6.6782316671107615,2024,18.895337574368266,26.73596390004194,7.840626325673675,2,116538258,"Egypt, ΔGNI/cap: 7%, ΔGDP/cap: 8%","Egypt, logratio(GNI/cap): 6.7, logratio(GDP/cap): 7.8","Egypt, ΔGNI/cap: 7%, ΔGDP/cap: 8%",lin,% of DE
Colombia,Latin America,1990,2023,22.647947120688336,29.141312686170377,6.493365565482041,2024,23.59683231384453,29.450470601922408,5.853638288077878,4,52886363,"Colombia, ΔGNI/cap: 6%, ΔGDP/cap: 6%","Colombia, logratio(GNI/cap): 6.5, logratio(GDP/cap): 5.9","Colombia, ΔGNI/cap: 6%, ΔGDP/cap: 6%",lin,% of DE
North Macedonia,ex-USSR/Balkans,1990,2023,28.106318987860874,34.54688767183503,6.440568683974156,2024,30.454197018248014,38.939155443796814,8.4849584255488,6,1792179,"North Macedonia, ΔGNI/cap: 6%, ΔGDP/cap: 8%","North Macedonia, logratio(GNI/cap): 6.4, logratio(GDP/cap): 8.5","North Macedonia, ΔGNI/cap: 6%, ΔGDP/cap: 8%",lin,% of DE
Georgia,ex-USSR/Balkans,1990,2023,27.27077193374216,32.39894735663809,5.128175422895929,2024,30.483876574510482,39.79104538308044,9.307168808569955,3,3673850,"Georgia, ΔGNI/cap: 5%, ΔGDP/cap: 9%","Georgia, logratio(GNI/cap): 5.1, logratio(GDP/cap): 9.3","Georgia, ΔGNI/cap: 5%, ΔGDP/cap: 9%",lin,% of DE
Kazakhstan,ex-USSR/Balkans,1990,2023,43.39487746297649,48.37934540780251,4.984467944826022,2024,39.73634237139838,57.14715593236664,17.410813560968258,4,20592571,"Kazakhstan, ΔGNI/cap: 5%, ΔGDP/cap: 17%","Kazakhstan, logratio(GNI/cap): 5, logratio(GDP/cap): 17.4","Kazakhstan, ΔGNI/cap: 5%, ΔGDP/cap: 17%",lin,% of DE
