cntr_group,region,country,Code,year,year_end,varname,value,value_end,pop,min_yr,max_yr,trans_rec_end_yr,era,era_col,era_num,era_low,era_high,cntr_region,change_val,change_lab,change_sign,sel_var
CEE,CEE,Slovakia,SVK,1965,1989,value,70.2836,70.9375,4364999,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Slovakia,0.653899999999993,+0.7,increase,value
CEE,CEE,Slovakia,SVK,1989,1995,value,70.9375,72.2537,5249882,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Slovakia,1.316199999999995,+1.3,increase,value
CEE,CEE,Slovakia,SVK,1995,2023,value,72.2537,78.3414,5354244,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Slovakia,6.087699999999998,+6.1,increase,value
Yugosl.,CEE,Slovenia,SVN,1950,1965,value,61.8152,68.7006,1446309,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Slovenia,6.885399999999997,+6.9,increase,value
Yugosl.,CEE,Slovenia,SVN,1965,1989,value,68.7006,73.2901,1675272,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,Yugosl.: Slovenia,4.589500000000001,+4.6,increase,value
Yugosl.,CEE,Slovenia,SVN,1989,1995,value,73.2901,74.4188,1995417,1950,2023,1995,1989-1995,transition,3,2.5,3.5,Yugosl.: Slovenia,1.1287000000000091,+1.1,increase,value
Yugosl.,CEE,Slovenia,SVN,1995,2023,value,74.4188,81.6034,1988051,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,Yugosl.: Slovenia,7.184599999999989,+7.2,increase,value
USSR,ex-USSR/Balkans,Ukraine,UKR,1950,1965,value,61.1744,71.1431,37310845,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,USSR: Ukraine,9.968700000000005,+10,increase,value
USSR,ex-USSR/Balkans,Ukraine,UKR,1965,1989,value,71.1431,70.8389,45386845,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,USSR: Ukraine,-0.3042000000000087,-0.3,no change,value
USSR,ex-USSR/Balkans,Ukraine,UKR,1989,1995,value,70.8389,67.1138,51917779,1950,2023,1995,1989-1995,transition,3,2.5,3.5,USSR: Ukraine,-3.7250999999999976,-3.7,decrease,value
USSR,ex-USSR/Balkans,Ukraine,UKR,1995,2023,value,67.1138,73.4225,51665488,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,USSR: Ukraine,6.308700000000002,+6.3,increase,value
USSR,ex-USSR/Balkans,Belarus,BLR,1950,1965,% of DE,87.77211006537826,101.42456435459916,7127548,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,USSR: Belarus,13.652454289220898,+13.7,convergence,% of DE
USSR,ex-USSR/Balkans,Belarus,BLR,1965,1989,% of DE,101.42456435459916,94.7479030569653,8679894,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,USSR: Belarus,-6.676661297633856,-6.7,divergence,% of DE
USSR,ex-USSR/Balkans,Belarus,BLR,1989,1995,% of DE,94.7479030569653,89.81156476359052,10158729,1950,2023,1995,1989-1995,transition,3,2.5,3.5,USSR: Belarus,-4.936338293374774,-4.9,divergence,% of DE
USSR,ex-USSR/Balkans,Belarus,BLR,1995,2023,% of DE,89.81156476359052,91.46719555848837,10197421,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,USSR: Belarus,1.6556307948978457,+1.7,convergence,% of DE
CEE,CEE,Bulgaria,BGR,1950,1965,% of DE,92.0041849270781,100.96452960774567,7248464,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,CEE: Bulgaria,8.960344680667575,+9,convergence,% of DE
CEE,CEE,Bulgaria,BGR,1965,1989,% of DE,100.96452960774567,94.71702863503252,8202371,1950,2023,1995,1965-1989,socialism,2,1.5,2.5,CEE: Bulgaria,-6.247500972713155,-6.2,divergence,% of DE
CEE,CEE,Bulgaria,BGR,1989,1995,% of DE,94.71702863503252,92.6983795222824,8936335,1950,2023,1995,1989-1995,transition,3,2.5,3.5,CEE: Bulgaria,-2.0186491127501256,-2,divergence,% of DE
CEE,CEE,Bulgaria,BGR,1995,2023,% of DE,92.6983795222824,92.9447502202692,8357522,1950,2023,1995,1995-2023,capitalism,4,3.5,4.5,CEE: Bulgaria,0.246370697986805,+0.2,no change,% of DE
Yugosl.,CEE,Croatia,HRV,1950,1965,% of DE,87.48952271475443,96.95575652282263,3864936,1950,2023,1995,1950-1965,socialism,1,0.5,1.5,Yugosl.: Croatia,9.466233808068196,+9.5,convergence,% of DE
