year,ksh_kod,telepules,jogallas,megye,terulet_ha,lakonepesseg,lakasok
2012,27298,Apátvarasd,község,Baranya,814.0,134,42
2012,07241,Apc,község,Heves,2046.0,2552,1106
2012,10108,Áporka,község,Pest,1747.0,1182,488
2012,21148,Apostag,község,Bács-Kiskun,3194.0,1948,975
2012,09353,Aranyosapáti,község,Szabolcs-Szatmár-Bereg,2111.0,1979,711
2012,06886,Aranyosgadány,község,Baranya,826.0,321,137
2012,26198,Arka,község,Borsod-Abaúj-Zemplén,949.0,73,67
2012,14331,Arló,nagyközség,Borsod-Abaúj-Zemplén,4687.0,3686,1171
2012,03771,Arnót,község,Borsod-Abaúj-Zemplén,1754.0,2544,810
2012,03823,Ároktő,község,Borsod-Abaúj-Zemplén,4641.0,1051,527
2012,19062,Árpádhalom,község,Csongrád,4520.0,488,259
2012,32249,Árpás,község,Győr-Moson-Sopron,1427.0,245,129
2012,03319,Ártánd,község,Hajdú-Bihar,1982.0,502,241
2012,10339,Ásotthalom,község,Csongrád,12254.0,3986,2005
2012,26921,Ásványráró,község,Győr-Moson-Sopron,3916.0,1858,817
2012,04233,Aszaló,község,Borsod-Abaúj-Zemplén,2535.0,1879,642
2012,23852,Ászár,község,Komárom-Esztergom,1868.0,1964,709
2012,16188,Aszód,város,Pest,1620.0,6414,2455
2012,07339,Aszófő,község,Veszprém,832.0,401,169
2012,28583,Áta,község,Baranya,809.0,168,92
2012,06503,Átány,község,Heves,5044.0,1351,587
2012,16090,Atkár,község,Heves,3376.0,1695,731
2012,32735,Attala,község,Tolna,2064.0,830,379
2012,05403,Babarc,község,Baranya,1885.0,729,327
2012,09663,Babarcszőlős,község,Baranya,425.0,96,64
2012,30474,Babócsa,község,Somogy,3099.0,1532,711
2012,19363,Bábolna,város,Komárom-Esztergom,3355.0,3654,1373
2012,28316,Bábonymegyer,község,Somogy,2193.0,809,365
2012,21263,Babosdöbréte,község,Zala,1252.0,498,220
2012,15042,Babót,község,Győr-Moson-Sopron,2167.0,1097,476
2012,10719,Bácsalmás,város,Bács-Kiskun,10832.0,6697,3284
2012,10180,Bácsbokod,nagyközség,Bács-Kiskun,6393.0,2619,1245
2012,27234,Bácsborsód,község,Bács-Kiskun,7752.0,1196,427
2012,08697,Bácsszentgyörgy,község,Bács-Kiskun,1473.0,156,98
2012,30155,Bácsszőlős,község,Bács-Kiskun,3883.0,359,272
2012,22327,Badacsonytomaj,város,Veszprém,3271.0,2080,1097
2012,03267,Badacsonytördemic,község,Veszprém,1025.0,820,445
2012,09131,Bag,nagyközség,Pest,2355.0,3883,1326
2012,20011,Bagamér,nagyközség,Hajdú-Bihar,4702.0,2478,1025
2012,11059,Baglad,község,Zala,486.0,45,43
2012,30368,Bagod,község,Zala,1637.0,1329,473
2012,28769,Bágyogszovát,község,Győr-Moson-Sopron,2406.0,1284,555
2012,29212,Baj,község,Komárom-Esztergom,2113.0,2870,1045
2012,03522,Baja,város,Bács-Kiskun,17761.0,37330,16121
2012,17020,Bajánsenye,község,Vas,2185.0,455,246
2012,16744,Bajna,község,Komárom-Esztergom,3727.0,1896,763
2012,29355,Bajót,község,Komárom-Esztergom,1644.0,1557,542
2012,04738,Bak,község,Zala,2305.0,1665,611
2012,14395,Bakháza,község,Somogy,592.0,180,85
2012,22275,Bakóca,község,Baranya,1065.0,275,160
2012,15167,Bakonszeg,község,Hajdú-Bihar,3503.0,1160,586
2012,08299,Bakonya,község,Baranya,1507.0,379,143
2012,24244,Bakonybánk,község,Komárom-Esztergom,1506.0,424,220
2012,23746,Bakonybél,község,Veszprém,2436.0,1193,586
2012,08730,Bakonycsernye,község,Fejér,3813.0,3097,1223
2012,28936,Bakonygyirót,község,Győr-Moson-Sopron,685.0,148,117
2012,29513,Bakonyjákó,község,Veszprém,4718.0,613,258
2012,07287,Bakonykoppány,község,Veszprém,683.0,191,119
2012,23153,Bakonykúti,község,Fejér,1245.0,134,71
2012,25991,Bakonynána,község,Veszprém,1493.0,1047,393
2012,30410,Bakonyoszlop,község,Veszprém,1420.0,507,212
2012,22062,Bakonypéterd,község,Győr-Moson-Sopron,1002.0,279,124
2012,06327,Bakonypölöske,község,Veszprém,1104.0,371,162
2012,29902,Bakonyság,község,Veszprém,856.0,46,49
2012,25229,Bakonysárkány,község,Komárom-Esztergom,1412.0,941,388
2012,23922,Bakonyszentiván,község,Veszprém,914.0,216,117
2012,22813,Bakonyszentkirály,község,Veszprém,2790.0,804,379
2012,05944,Bakonyszentlászló,község,Győr-Moson-Sopron,3851.0,1703,775
2012,22381,Bakonyszombathely,község,Komárom-Esztergom,3653.0,1421,606
2012,26417,Bakonyszücs,község,Veszprém,3521.0,319,158
2012,24129,Bakonytamási,község,Veszprém,2049.0,591,291
2012,29106,Baks,község,Csongrád,6192.0,1963,883
2012,03975,Baksa,község,Baranya,1382.0,769,270
