cntr_group,country,Code,cntr_region,era,varname,value,value_end,era_col,scaling,change_val,change_val_lab,change_lab,change_sign,era_num,pop,type_scale,sel_var
USSR,Belarus,BLR,USSR: Belarus,1989-1995,% of DE,94.7479030569653,89.81156476359052,transition,1,-4.936338293374774,-5,-5,divergence,3,10158729,linear,% of DE
USSR,Belarus,BLR,USSR: Belarus,1995-2023,% of DE,89.81156476359052,91.46719555848837,capitalism,1,1.6556307948978457,2,+2,convergence,4,10197421,linear,% of DE
CEE,Bulgaria,BGR,CEE: Bulgaria,1950-1965,% of DE,92.0041849270781,100.96452960774567,socialism,1,8.960344680667575,9,+9,convergence,1,7248464,linear,% of DE
CEE,Bulgaria,BGR,CEE: Bulgaria,1965-1989,% of DE,100.96452960774567,94.71702863503252,socialism,1,-6.247500972713155,-6,-6,divergence,2,8202371,linear,% of DE
CEE,Bulgaria,BGR,CEE: Bulgaria,1989-1995,% of DE,94.71702863503252,92.6983795222824,transition,1,-2.0186491127501256,-2,-2,divergence,3,8936335,linear,% of DE
CEE,Bulgaria,BGR,CEE: Bulgaria,1995-2023,% of DE,92.6983795222824,92.9447502202692,capitalism,1,0.246370697986805,0,+0,no change,4,8357522,linear,% of DE
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1950-1965,% of DE,87.48952271475443,96.95575652282263,socialism,1,9.466233808068196,9,+9,convergence,1,3864936,linear,% of DE
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1965-1989,% of DE,96.95575652282263,96.06423999893993,socialism,1,-0.8915165238827001,-1,-1,divergence,2,4346657,linear,% of DE
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1989-1995,% of DE,96.06423999893993,94.78743068391866,transition,1,-1.2768093150212678,-1,-1,divergence,3,4820680,linear,% of DE
Yugosl.,Croatia,HRV,Yugosl.: Croatia,1995-2023,% of DE,94.78743068391866,96.56244892642579,capitalism,1,1.7750182425071301,2,+2,convergence,4,4619314,linear,% of DE
CEE,Czechia,CZE,CEE: Czechia,1950-1965,% of DE,96.39970543860909,99.48077949624141,socialism,1,3.0810740576323212,3,+3,convergence,1,8916664,linear,% of DE
CEE,Czechia,CZE,CEE: Czechia,1965-1989,% of DE,99.48077949624141,95.08049876104788,socialism,1,-4.400280735193533,-4,-4,divergence,2,9706802,linear,% of DE
CEE,Czechia,CZE,CEE: Czechia,1989-1995,% of DE,95.08049876104788,95.59211772466901,transition,1,0.5116189636211317,1,+1,convergence,3,10305562,linear,% of DE
CEE,Czechia,CZE,CEE: Czechia,1995-2023,% of DE,95.59211772466901,98.10316585501926,capitalism,1,2.5110481303502468,3,+3,convergence,4,10311979,linear,% of DE
Baltics,Estonia,EST,Baltics: Estonia,1950-1965,% of DE,99.3278073137438,100.12729185516197,socialism,1,0.7994845414181668,1,+1,convergence,1,1102004,linear,% of DE
Baltics,Estonia,EST,Baltics: Estonia,1965-1989,% of DE,100.12729185516197,93.41566512515405,socialism,1,-6.7116267300079215,-7,-7,divergence,2,1292753,linear,% of DE
