country,iso2c,iso3c,year,gdp_pc_ppp,gdp_pc_const2015,gni_pc_ppp
Croatia,HR,HRV,2015,29473.4468405471,12285.3032582105,29502.5195243888
Croatia,HR,HRV,2016,30826.6324490682,12849.34640034,30548.9834620154
Croatia,HR,HRV,2017,32353.7325898616,13485.8816667037,32615.5655097923
Croatia,HR,HRV,2018,33732.8142280423,14060.7189510749,33864.2809444424
Croatia,HR,HRV,2019,35125.5074076313,14641.2298817935,35684.5493296936
Croatia,HR,HRV,2020,32495.4939551574,13544.9715102628,33395.7682666047
Croatia,HR,HRV,2021,36932.5937866899,15394.4707328085,36754.951994059
Croatia,HR,HRV,2022,39864.0816847514,16616.3915356348,38506.5949856842
Croatia,HR,HRV,2023,41137.4530699689,17147.1660226623,40831.1076383497
Croatia,HR,HRV,2024,42633.7666808329,17770.8686584043,43091.2323856226
Czechia,CZ,CZE,1990,27918.1375190566,11900.5844581421,NA
Czechia,CZ,CZE,1991,24734.7702062546,10543.6195982395,NA
Czechia,CZ,CZE,1992,24584.3299626051,10479.4918667877,NA
Czechia,CZ,CZE,1993,24573.9914877529,10475.0849147458,NA
Czechia,CZ,CZE,1994,25279.7917961729,10775.9443891717,NA
Czechia,CZ,CZE,1995,26869.0197149398,11453.3800188807,25337.0958105991
Czechia,CZ,CZE,1996,28021.6704584336,11944.7171474526,26740.2294104532
Czechia,CZ,CZE,1997,27884.7397585343,11886.3480904927,26693.2858025874
Czechia,CZ,CZE,1998,27801.4387801408,11850.8396211995,27260.8649740609
Czechia,CZ,CZE,1999,28213.4555005997,12026.4688076608,27518.5698424899
Czechia,CZ,CZE,2000,29427.4070011514,12543.9364342367,28252.645412626902
Czechia,CZ,CZE,2001,30399.8730764283,12958.4667607533,29386.1071111883
Czechia,CZ,CZE,2002,30919.549661870202,13179.9878092741,30226.3598003861
Czechia,CZ,CZE,2003,31949.2963145034,13618.9349633164,31358.2584806997
Czechia,CZ,CZE,2004,33452.3408000614,14259.63342798,32568.2548623157
Czechia,CZ,CZE,2005,35535.7479961511,15147.7214417611,34151.0033850874
Czechia,CZ,CZE,2006,37786.8781740905,16107.3042502688,35212.7991779973
Czechia,CZ,CZE,2007,39629.0061324728,16892.542854974,37087.2574205986
Czechia,CZ,CZE,2008,40328.3426630095,17190.6470333289,37516.4834297675
Czechia,CZ,CZE,2009,38175.1422773334,16272.8084766719,35589.9662185182
Czechia,CZ,CZE,2010,39097.3886218756,16665.9317825137,35660.3729133683
Czechia,CZ,CZE,2011,39708.1626280195,16926.2846674435,35760.4590224732
Czechia,CZ,CZE,2012,39347.0492956846,16772.3539223328,35996.5225643813
Czechia,CZ,CZE,2013,39317.5535692377,16759.7808635642,36296.2534073431
Czechia,CZ,CZE,2014,40158.0164275735,17118.0425571578,37321.3090333897
Czechia,CZ,CZE,2015,42066.5759800801,17931.5987670768,38855.8416614024
Czechia,CZ,CZE,2016,43069.4659744727,18359.0978103904,39933.203293286
Czechia,CZ,CZE,2017,45177.5226053634,19257.6930680911,41958.8279578352
Czechia,CZ,CZE,2018,46301.082036029,19736.6295261285,43192.6700892238
Czechia,CZ,CZE,2019,47763.6165520254,20360.0599221814,44401.3566896729
Czechia,CZ,CZE,2020,45119.9387309139,19233.1469549829,42810.5355734935
Czechia,CZ,CZE,2021,47796.0337408466,20373.8783043424,46397.1801409687
Czechia,CZ,CZE,2022,48390.661678675,20627.348651011,45261.4146593426
Czechia,CZ,CZE,2023,47509.5238443224,20251.7485519779,46413.7086819405
Czechia,CZ,CZE,2024,47961.8095131483,20444.5430676362,NA
Estonia,EE,EST,1990,19360.0271219273,9341.22561480009,NA
Estonia,EE,EST,1991,17900.9210305801,8637.20598149255,NA
Estonia,EE,EST,1992,14371.3188938954,6934.17066642789,NA
Estonia,EE,EST,1993,13899.5875781115,6706.56000129024,NA
Estonia,EE,EST,1994,13966.8188721862,6738.99914418874,NA
Estonia,EE,EST,1995,14862.0444756989,7170.94607721168,NA
Estonia,EE,EST,1996,15828.4908596174,7637.25708286963,NA
Estonia,EE,EST,1997,18099.4386401398,8732.99085657194,NA
Estonia,EE,EST,1998,19067.1979322383,9199.93534127632,NA
Estonia,EE,EST,1999,18930.3288776049,9133.89593384355,NA
Estonia,EE,EST,2000,20739.3911025799,10006.7696280939,16765.5907969823
Estonia,EE,EST,2001,22099.3392764137,10662.9455020331,17932.4209985625
Estonia,EE,EST,2002,23781.6515696429,11474.6622721923,19561.7995511367
Estonia,EE,EST,2003,25749.2797728847,12424.0441535693,21423.7995624664
Estonia,EE,EST,2004,27665.3068254089,13348.5284463324,23265.0520142963
Estonia,EE,EST,2005,30473.7787570071,14703.6179707772,26185.5902030305
Estonia,EE,EST,2006,33646.6185085554,16234.5152041417,29187.5343163488
Estonia,EE,EST,2007,36359.4666305513,17543.4661785723,31698.6999459908
Estonia,EE,EST,2008,34588.5500287282,16688.997772178,31210.3489035481
Estonia,EE,EST,2009,29585.1439652234,14274.8511086787,27636.4667230956
Estonia,EE,EST,2010,30379.1091281954,14657.939813612,27608.2381773008
Estonia,EE,EST,2011,32789.4323795893,15820.922342204,30159.7045658054
Estonia,EE,EST,2012,34115.3622192703,16460.6843479001,31778.4958944755
Estonia,EE,EST,2013,34838.3629500515,16809.5326683781,33378.9841427371
Estonia,EE,EST,2014,36090.4940948192,17413.6867560212,34866.9372514195
Estonia,EE,EST,2015,36729.8072496625,17722.1557669523,35784.8163399507
Estonia,EE,EST,2016,37854.8452505513,18264.9873304279,37192.4404002281
Estonia,EE,EST,2017,39939.4575647613,19270.8141210511,39101.4803630583
Estonia,EE,EST,2018,41273.1995505254,19914.3454922878,40860.3703540288
