country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_end,mean_start,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,period_lab_T_F,period_lab,x_start,x_end,type_scale,sel_var
Slovenia,CEE,1995,2024,0.5706600639029875,0.8897242642129192,1988051,2126324,60.8908623465422,34.20099470019715,0.01,0.31906420030993166,0.4441179015291641,0.2668986764634505,0.576828391440762,black,+0%,0.44,0.44,-0.33890263051436975,0 → 1,-1.07 → -0.5,0.58,+0.58 (-1.07 → -0.5),"CEE
+0.58 (-1.07 → -0.5)",FALSE,,-0.5609615812789518,-0.11684367974978777,logratio,% of DE
Costa Rica,Latin America,1995,2023,0.41538373819749547,0.6021595516484005,3535133,5105469,33.781055871282355,31.978509441843954,0.01,0.18677581345090505,0.37131968281196437,0.018025464294384008,0.05483607093540486,black,+0%,0.37,0.37,-0.6928926742343258,0 → 0,-1.14 → -1.09,0.05,+0.05 (-1.14 → -1.09),"Latin America
+0.05 (-1.14 → -1.09)",TRUE,(1995-2023),-0.8785525156403079,-0.5072328328283435,logratio,% of DE
"South
Korea",Asia,1995,2023,0.5911157632043093,0.7387746802037799,45368368,51748695,74.67829577658878,60.3073767294033,0.01,0.14765891699947065,0.22298110117055353,0.14370919047185482,0.21373506799559128,black,+0%,0.22,0.22,-0.41425285334588047,1 → 1,-0.51 → -0.29,0.21,+0.21 (-0.51 → -0.29),"Asia
+0.21 (-0.51 → -0.29)",TRUE,(1995-2023),-0.5257434039311573,-0.30276230276060373,logratio,% of DE
Israel,Asia,1995,2024,0.7043898366180815,0.7883311123452974,5354680,9974400,74.67829577658878,60.3073767294033,0.01,0.08394127572721588,0.11258624683909388,0.14370919047185482,0.21373506799559128,black,+0%,0.11,0.11,-0.29413020746870483,1 → 1,-0.51 → -0.29,0.21,+0.21 (-0.51 → -0.29),"Asia
+0.21 (-0.51 → -0.29)",FALSE,,-0.3504233308882518,-0.23783708404915788,logratio,% of DE
Greece,Southern Europe,1995,2024,0.4608261543555257,0.46457856057104324,10519187,10388805,71.91753151867876,82.23661061138857,0.01,0.003752406215517534,0.008109806922224804,-0.10319079092709814,-0.13408052049932437,black,+0%,0.01,0.01,-0.7706795091660105,1 → 1,-0.2 → -0.33,-0.13,-0.13 (-0.2 → -0.33),"Southern Europe
-0.13 (-0.2 → -0.33)",FALSE,,-0.7747344126271228,-0.7666246057048981,logratio,% of DE
Portugal,Southern Europe,1995,2024,0.5777417110621227,0.5761296974055385,10031702,10701636,71.91753151867876,82.23661061138857,0.01,-0.0016120136565841436,-0.002794097667211556,-0.10319079092709814,-0.13408052049932437,red,0%,0,0,-0.5500254256925607,1 → 1,-0.2 → -0.33,-0.13,-0.13 (-0.2 → -0.33),"Southern Europe
-0.13 (-0.2 → -0.33)",FALSE,,-0.548628376858955,-0.5514224745261666,logratio,% of DE
Mexico,Latin America,1995,2024,0.31114493316378855,0.294137251213262,90862395,130861007,33.781055871282355,31.978509441843954,0.01,-0.017007681950526543,-0.05621232739508971,0.018025464294384008,0.05483607093540486,red,0%,-0.06,-0.06,-1.1956026160207676,0 → 0,-1.14 → -1.09,0.05,+0.05 (-1.14 → -1.09),"Latin America
+0.05 (-1.14 → -1.09)",FALSE,,-1.1674964523232227,-1.2237087797183124,logratio,% of DE
Spain,Southern Europe,1995,2024,0.9111255084650356,0.7858562827029003,40052688,48807137,71.91753151867876,82.23661061138857,0.01,-0.12526922576213528,-0.14790672848830452,-0.10319079092709814,-0.13408052049932437,red,0%,-0.15,-0.15,-0.16702798546119452,1 → 1,-0.2 → -0.33,-0.13,-0.13 (-0.2 → -0.33),"Southern Europe
-0.13 (-0.2 → -0.33)",FALSE,,-0.09307462121704227,-0.24098134970534676,logratio,% of DE
Italy,Southern Europe,1995,2024,0.8694374895390486,0.734793778790859,57403300,58986023,71.91753151867876,82.23661061138857,0.01,-0.1346437107481896,-0.16825655201674125,-0.10319079092709814,-0.13408052049932437,red,0%,-0.17,-0.17,-0.22403711620257966,1 → 1,-0.2 → -0.33,-0.13,-0.13 (-0.2 → -0.33),"Southern Europe
-0.13 (-0.2 → -0.33)",FALSE,,-0.13990884019420907,-0.30816539221095024,logratio,% of DE
Latvia,CEE,1995,2024,0.21708518901289026,0.7418823441090217,2485908,1862441,68.83473652175856,37.39969258893407,0.01,0.5247971550961315,1.2289008121047802,0.31435043932824486,0.6100460239897103,black,+1%,1.23,1.23,-0.9130150203308531,0 → 1,-0.98 → -0.37,0.61,+0.61 (-0.98 → -0.37),"CEE
+0.61 (-0.98 → -0.37)",FALSE,,-1.5274654263832432,-0.298564614278463,logratio,% of W_EUR3
