country,region,start_yr,end_yr,start,end,pop_start,pop_end,mean_start,mean_end,scaling,change,log_change,mean_lin_diff,mean_log_diff,label_color,label_txt_linear,label_txt_log,label_final,x_text,mean_start_end_lin,mean_start_end_log,mean_label_val,mean_label_txt,region_lab,x_start,x_end,type_scale,sel_var
China,Asia,1990,2023,3.855671490623491,34.39206017783056,1153582668,1422584878,7.277921479684563,35.69371241472026,1,30.53638868720707,2.1882805501762363,28.415790935035695,1.5901292400269578,black,+31%,2.19,+31%,19.123865834227026,7 → 36,1.98 → 3.57,28,+28% (7 → 36),"Asia
+28% (7 → 36)",3.855671490623491,34.39206017783056,linear,% of DE
Panama,Latin America,1990,2023,24.241645851956555,53.68124255043342,2455535,4458719,30.865293879718575,31.64075311895007,1,29.439596698476862,0.7949915826791362,0.7754592392314947,0.024813568108423747,black,+29%,0.79,+29%,38.961444201194986,31 → 32,3.43 → 3.45,1,+1% (31 → 32),"Latin America
+1% (31 → 32)",24.241645851956555,53.68124255043342,linear,% of DE
Estonia,CEE,1990,2023,36.94293059414791,63.823377006337374,1570254,1367143,40.147616938518375,63.38602058859676,1,26.880446412189464,0.5467452284752249,23.238403650078382,0.4566802570109214,black,+27%,0.55,+27%,50.38315380024264,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",36.94293059414791,63.823377006337374,linear,% of DE
Croatia,CEE,1995,2023,38.05733639599239,64.60235420159889,4619314,3895973,40.147616938518375,63.38602058859676,1,26.5450178056065,0.5291569777954739,23.238403650078382,0.4566802570109214,black,+27%,0.53,+27%,51.32984529879563,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",38.05733639599239,64.60235420159889,linear,% of DE
Malaysia,Asia,1990,2023,26.971419302240825,50.82194224637221,17833124,35126249,7.277921479684563,35.69371241472026,1,23.850522944131384,0.6335504343224014,28.415790935035695,1.5901292400269578,black,+24%,0.63,+24%,38.89668077430652,7 → 36,1.98 → 3.57,28,+28% (7 → 36),"Asia
+28% (7 → 36)",26.971419302240825,50.82194224637221,linear,% of DE
Romania,CEE,1990,2023,38.43013899802421,61.47115188879723,22939481,19118433,40.147616938518375,63.38602058859676,1,23.04101289077302,0.4697259682987706,23.238403650078382,0.4566802570109214,black,+23%,0.47,+23%,49.95064544341072,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",38.43013899802421,61.47115188879723,linear,% of DE
Israel,Asia,1990,2023,53.47966946451013,75.01591762213121,4544949,9256261,7.277921479684563,35.69371241472026,1,21.53624815762108,0.338398754308703,28.415790935035695,1.5901292400269578,black,+22%,0.34,+22%,64.24779354332067,7 → 36,1.98 → 3.57,28,+28% (7 → 36),"Asia
+28% (7 → 36)",53.47966946451013,75.01591762213121,linear,% of DE
Lithuania,CEE,1990,2023,44.430278503981185,65.44005599843118,3694967,2854061,40.147616938518375,63.38602058859676,1,21.00977749444999,0.38721336271090334,23.238403650078382,0.4566802570109214,black,+21%,0.39,+21%,54.93516725120618,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",44.430278503981185,65.44005599843118,linear,% of DE
Chile,Latin America,1990,2023,25.086707867738056,43.78728920479146,13437138,19658791,30.865293879718575,31.64075311895007,1,18.700581337053407,0.5570054356169404,0.7754592392314947,0.024813568108423747,black,+19%,0.56,+19%,34.43699853626476,31 → 32,3.43 → 3.45,1,+1% (31 → 32),"Latin America
+1% (31 → 32)",25.086707867738056,43.78728920479146,linear,% of DE
"Dominican
Republic",Latin America,1990,2023,16.29726917089222,34.38314103257537,7151120,11331213,30.865293879718575,31.64075311895007,1,18.085871861683145,0.7465687997364971,0.7754592392314947,0.024813568108423747,black,+18%,0.75,+18%,25.340205101733794,31 → 32,3.43 → 3.45,1,+1% (31 → 32),"Latin America
+1% (31 → 32)",16.29726917089222,34.38314103257537,linear,% of DE
Serbia,ex-USSR/Balkans,1995,2023,19.163180657669162,36.086878875712465,7823230,6773156,60.26642484683023,50.78134783683855,1,16.923698218043302,0.6329385693593472,-9.485077009991684,-0.17124602818924672,black,+17%,0.63,+17%,27.625029766690815,60 → 51,4.1 → 3.93,-9,-9% (60 → 51),"ex-USSR/Balkans
-9% (60 → 51)",19.163180657669162,36.086878875712465,linear,% of DE
Latvia,CEE,1990,2023,46.31100137890871,59.322267046577814,2660082,1882336,40.147616938518375,63.38602058859676,1,13.0112656676691,0.2476051901350175,23.238403650078382,0.4566802570109214,black,+13%,0.25,+13%,52.81663421274327,40 → 63,3.69 → 4.15,23,+23% (40 → 63),"CEE
+23% (40 → 63)",46.31100137890871,59.322267046577814,linear,% of DE
Uruguay,Latin America,1990,2023,31.9205195239289,44.72815052569642,3104365,3388029,30.865293879718575,31.64075311895007,1,12.807631001767522,0.33735402081440463,0.7754592392314947,0.024813568108423747,black,+13%,0.34,+13%,38.32433502481266,31 → 32,3.43 → 3.45,1,+1% (31 → 32),"Latin America
+1% (31 → 32)",31.9205195239289,44.72815052569642,linear,% of DE
