cntr_group,country,Code,era_yrs,varname,cntr_region,era_col,value,value_end,change_val,pop,synth,cntr_rank,trans_rec_end_yr,label_perc_end,era_num,era_low,era_high,scaling,change_val_lab,change_lab,change_sign
CEE,Romania,ROU,1975-1989,% of W_EUR3,CEE: Romania,"late socialism
(1973/75-1989)",-1.1531086753946223,-1.4382075811697135,-0.2850989057750912,21268014,NA,5,1992,32,2,1.5,2.5,0.01,-0.29,ROU: -0.29,divergence
CEE,Romania,ROU,1989-1992,% of W_EUR3,CEE: Romania,"transition
(1989-1991/92)",-1.4382075811697135,-1.746277455973541,-0.3080698748038275,22887592,NA,5,1992,24,3,2.5,3.5,0.01,-0.31,ROU: -0.31,divergence
CEE,Romania,ROU,1992-2022,% of W_EUR3,CEE: Romania,"capitalism
(1992-2022)",-1.746277455973541,-0.45506590062894064,1.2912115553446004,22912341,NA,5,1992,17,4,3.5,4.5,0.01,1.29,ROU: +1.29,convergence
USSR,Russia,RUS,1950-1975,% of W_EUR3,USSR: Russia,"early socialism
(1950-1973/75)",-0.683750222759956,-0.5314153246902977,0.15233489806965828,103392314,NA,2,1998,50,1,0.5,1.5,0.01,0.15,RUS: +0.15,convergence
USSR,Russia,RUS,1975-1989,% of W_EUR3,USSR: Russia,"late socialism
(1973/75-1989)",-0.5314153246902977,-0.7289759636582354,-0.19756063896793763,134136049,NA,2,1998,59,2,1.5,2.5,0.01,-0.2,RUS: -0.2,divergence
USSR,Russia,RUS,1989-1998,% of W_EUR3,USSR: Russia,"transition
(1989-1991/92)",-0.7289759636582354,-1.2887377444649737,-0.5597617808067383,148281823,NA,2,1998,48,3,2.5,3.5,0.01,-0.56,RUS: -0.56,divergence
USSR,Russia,RUS,1998-2022,% of W_EUR3,USSR: Russia,"capitalism
(1992-2022)",-1.2887377444649737,-0.4845362947438035,0.8042014497211702,147635488,NA,2,1998,28,4,3.5,4.5,0.01,0.8,RUS: +0.8,convergence
Yugosl.,Serbia,SRB,1952-1979,% of W_EUR3,Yugosl.: Serbia,"early socialism
(1950-1973/75)",-1.2962426493848629,-0.7136474365397564,0.5825952128451065,6127217,NA,2,1993,27,1,0.5,1.5,0.01,0.58,SRB: +0.58,convergence
Yugosl.,Serbia,SRB,1979-1989,% of W_EUR3,Yugosl.: Serbia,"late socialism
(1973/75-1989)",-0.7136474365397564,-0.8812353837996979,-0.16758794725994153,7758172,NA,2,1993,49,2,1.5,2.5,0.01,-0.17,SRB: -0.17,divergence
Yugosl.,Serbia,SRB,1989-1993,% of W_EUR3,Yugosl.: Serbia,"transition
(1989-1991/92)",-0.8812353837996979,-1.7711086807431853,-0.8898732969434874,7881211,NA,2,1993,41,3,2.5,3.5,0.01,-0.89,SRB: -0.89,divergence
Yugosl.,Serbia,SRB,1993-2022,% of W_EUR3,Yugosl.: Serbia,"capitalism
(1992-2022)",-1.7711086807431853,-0.8818021754814326,0.8893065052617527,7849677,NA,2,1993,17,4,3.5,4.5,0.01,0.89,SRB: +0.89,convergence
CEE,Slovakia,SVK,1950-1975,% of W_EUR3,CEE: Slovakia,"early socialism
(1950-1973/75)",-0.28275480077977516,-0.5976909297874473,-0.31493612900767215,3465707,TRUE,6,1992,75,1,0.5,1.5,0.01,-0.31,SVK: -0.31,divergence
CEE,Slovakia,SVK,1975-1989,% of W_EUR3,CEE: Slovakia,"late socialism
(1973/75-1989)",-0.5976909297874473,-0.7314857688972672,-0.13379483910981993,4739131,TRUE,6,1992,55,2,1.5,2.5,0.01,-0.13,SVK: -0.13,divergence
CEE,Slovakia,SVK,1989-1992,% of W_EUR3,CEE: Slovakia,"transition
(1989-1991/92)",-0.7314857688972672,-1.0323845057711925,-0.3008987368739252,5249882,NA,6,1992,48,3,2.5,3.5,0.01,-0.3,SVK: -0.3,divergence
CEE,Slovakia,SVK,1992-2022,% of W_EUR3,CEE: Slovakia,"capitalism
(1992-2022)",-1.0323845057711925,-0.40585820389653965,0.6265263018746527,5306409,NA,6,1992,36,4,3.5,4.5,0.01,0.63,SVK: +0.63,convergence
Yugosl.,Slovenia,SVN,1952-1979,% of W_EUR3,Yugosl.: Slovenia,"early socialism
(1950-1973/75)",-0.6356064591342312,-0.028749935728257778,0.6068565234059734,1479622,NA,3,1992,53,1,0.5,1.5,0.01,0.61,SVN: +0.61,convergence
Yugosl.,Slovenia,SVN,1979-1989,% of W_EUR3,Yugosl.: Slovenia,"late socialism
(1973/75-1989)",-0.028749935728257778,-0.2882124697461293,-0.2594625340178715,1885870,NA,3,1992,97,2,1.5,2.5,0.01,-0.26,SVN: -0.26,divergence
Yugosl.,Slovenia,SVN,1989-1992,% of W_EUR3,Yugosl.: Slovenia,"transition
(1989-1991/92)",-0.2882124697461293,-0.5802681360250078,-0.2920556662788785,1995417,NA,3,1992,75,3,2.5,3.5,0.01,-0.29,SVN: -0.29,divergence
Yugosl.,Slovenia,SVN,1992-2022,% of W_EUR3,Yugosl.: Slovenia,"capitalism
(1992-2022)",-0.5802681360250078,-0.23417293769711758,0.34609519832789026,1995805,NA,3,1992,56,4,3.5,4.5,0.01,0.35,SVN: +0.35,convergence
USSR,Ukraine,UKR,1973-1989,% of W_EUR3,USSR: Ukraine,"late socialism
(1973/75-1989)",-0.8753325081033938,-0.9650096948316619,-0.08967718672826808,48277070,NA,3,1998,42,2,1.5,2.5,0.01,-0.09,UKR: -0.09,divergence
USSR,Ukraine,UKR,1989-1998,% of W_EUR3,USSR: Ukraine,"transition
(1989-1991/92)",-0.9650096948316619,-1.9007879983546765,-0.9357783035230146,51917779,NA,3,1998,38,3,2.5,3.5,0.01,-0.94,UKR: -0.94,divergence
USSR,Ukraine,UKR,1998-2022,% of W_EUR3,USSR: Ukraine,"capitalism
(1992-2022)",-1.9007879983546765,-1.6731686522252207,0.22761934612945578,50379676,NA,3,1998,15,4,3.5,4.5,0.01,0.23,UKR: +0.23,convergence
USSR,Belarus,BLR,1973-1989,% of LAT_AM,USSR: Belarus,"late socialism
(1973/75-1989)",0.16386937870820384,0.32767283450293083,0.163803455794727,9205662,NA,1,1995,118,2,1.5,2.5,0.01,0.16,BLR: +0.16,convergence
USSR,Belarus,BLR,1989-1995,% of LAT_AM,USSR: Belarus,"transition
(1989-1991/92)",0.32767283450293083,-0.31258344372767555,-0.6402562782306064,10158729,NA,1,1995,139,3,2.5,3.5,0.01,-0.64,BLR: -0.64,divergence
USSR,Belarus,BLR,1995-2022,% of LAT_AM,USSR: Belarus,"capitalism
(1992-2022)",-0.31258344372767555,0.18249410460428822,0.49507754833196377,10197421,NA,1,1995,73,4,3.5,4.5,0.01,0.5,BLR: +0.5,convergence
