megye,telepules,nevjegyzeken,szavazo,ervenyes,MKKP,TISZA,Mi_Hazank,DK,FIDESZ_KDNP,reszvetel_pct,TISZA_pct,FIDESZ_KDNP_pct,Mi_Hazank_pct,DK_pct,MKKP_pct,gyoztes
Baranya,Csebény,56,48,48,0,21,4,0,23,85.7143,43.75,47.9167,8.3333,0.0,0.0,FIDESZ_KDNP
Baranya,Cserdi,285,165,154,0,63,7,4,62,57.8947,40.9091,40.2597,4.5455,2.5974,0.0,TISZA
Baranya,Cserkút,537,432,432,5,256,37,9,125,80.4469,59.2593,28.9352,8.5648,2.0833,1.1574,TISZA
Baranya,Csertő,298,211,210,2,89,8,4,107,70.8054,42.381,50.9524,3.8095,1.9048,0.9524,FIDESZ_KDNP
Baranya,Csonkamindszent,126,96,95,1,35,4,1,52,76.1905,36.8421,54.7368,4.2105,1.0526,1.0526,FIDESZ_KDNP
Baranya,Csányoszró,469,309,302,1,161,3,4,125,65.8849,53.3113,41.3907,0.9934,1.3245,0.3311,TISZA
Baranya,Cún,158,103,98,1,48,3,0,46,65.1899,48.9796,46.9388,3.0612,0.0,1.0204,TISZA
Baranya,Dencsháza,415,255,247,2,128,4,2,102,61.4458,51.8219,41.2955,1.6194,0.8097,0.8097,TISZA
Baranya,Dinnyeberki,61,42,39,0,18,1,0,20,68.8525,46.1538,51.2821,2.5641,0.0,0.0,FIDESZ_KDNP
Baranya,Diósviszló,500,357,343,2,137,9,4,181,71.4,39.9417,52.7697,2.6239,1.1662,0.5831,FIDESZ_KDNP
Baranya,Drávacsehi,134,90,88,0,37,1,4,44,67.1642,42.0455,50.0,1.1364,4.5455,0.0,FIDESZ_KDNP
Baranya,Drávacsepely,167,123,123,0,41,10,1,71,73.6527,33.3333,57.7236,8.1301,0.813,0.0,FIDESZ_KDNP
Baranya,Drávafok,360,232,223,1,101,6,1,83,64.4444,45.2915,37.2197,2.6906,0.4484,0.4484,TISZA
Baranya,Drávaiványi,119,79,77,0,19,2,0,54,66.3866,24.6753,70.1299,2.5974,0.0,0.0,FIDESZ_KDNP
Baranya,Drávakeresztúr,81,60,59,1,13,3,0,29,74.0741,22.0339,49.1525,5.0847,0.0,1.6949,FIDESZ_KDNP
Baranya,Drávapalkonya,208,138,133,1,58,4,2,60,66.3462,43.609,45.1128,3.0075,1.5038,0.7519,FIDESZ_KDNP
Baranya,Drávapiski,74,54,53,0,23,0,0,30,72.973,43.3962,56.6038,0.0,0.0,0.0,FIDESZ_KDNP
